new_rank,old_rank,rank_change,ticker,company_name,ai_score,enhanced_final_score,score_improvement,sector,sector_momentum,volume_multiplier,volume_score,catalyst_freshness,sentiment,recommendation,catalysts,certainty,articles_count,headline,reasoning
1,10,9,MRPL,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,63.9,68.61,4.71,GENERAL,50.0,1.83,100,75.0,bullish,HOLD,"innovation_recognition, technology_advancement, r&d_milestone, sector_positioning",58,1,MRPL wins Innovation Award at Energy Technology Meet,MRPL's Innovation Award for indigenous crude-to-chemicals technology demonstrates strong R&D capabilities and positions the company ahead in sustainable refining. While the award validates technologic
2,9,7,BHEL,BHARAT HEAVY ELECTRICALS LIMITED,65.4,68.16,2.76,PSU,46.1,5.9,100,75.0,bullish,BUY,"technical_breakout, momentum_surge, analyst_recommendation",68,1,Stock to buy today: BHEL (₹245.55) – BUY,"BHEL shows strong technical momentum with 3%+ breakout from 2-week consolidation between ₹230-240, now trading at ₹245.55. Stock is in bull channel since mid-August with clear support at ₹240-235 and "
3,5,2,SAIL,STEEL AUTHORITY OF INDIA LIMITED,73.7,56.1,-17.6,METAL,40.8,0.82,31.8,75.0,bullish,BUY,"earnings_anticipation, intraday_price_movement, sector_momentum, technical_breakout",72,1,"SAIL shares surge 8% to record high ahead of Q2 results. Should you buy, sell or hold? ","SAIL surged 8.2% to 52-week high of ₹143.20 ahead of Q2 earnings, backed by strong Q1 performance (9x profit jump to ₹745cr). Technical breakout above all 8 SMAs with expert targets of ₹145-150. High "
4,11,7,MARINE,MARINE ELECTRICALS (INDIA) LIMITED,34.0,55.95,21.95,GENERAL,50.0,1.39,89.0,75.0,neutral,HOLD,,85,1,National Marine Fisheries Census: Household enumeration to be launched on Friday,This article is about India's National Marine Fisheries Census - a government initiative to document fishing communities. It has ZERO relevance to any publicly traded stock ticker 'MARINE'. This is a 
5,7,2,QUESS,QUESS CORP LIMITED,68.5,55.2,-13.3,GENERAL,50.0,0.75,24.9,75.0,bullish,BUY,"earnings, expansion, sector_momentum",75,1,"Quess Corp Q2 Results: Revenue up 3%, headcount rises by 21,000 ","Quess Corp delivered record EBITDA of ₹77 crore (+11% YoY) with improved margins (2%, +13 bps YoY). Strong operational execution shown through 21,000 headcount addition in festive season and 47% manpo"
6,3,-3,HEIDELBERG,HEIDELBERGCEMENT INDIA LIMITED,74.3,54.43,-19.87,GENERAL,50.0,0.61,10.9,75.0,bullish,BUY,"earnings, volume_growth, margin_expansion, sector_momentum",85,1,Heidelberg Cement India Q2 Results: Profit surges two-fold to Rs 25 crore ,"Heidelberg Cement Q2 results show exceptional profit growth (122% YoY to ₹25cr), driven by 9.2% volume growth and 2% price improvement. EBITDA per tonne surged 41% YoY to ₹535/tonne due to 2% decline "
7,1,-6,SOLEX,SOLEX ENERGY LIMITED,78.6,53.96,-24.64,ENERGY,50.8,0.43,0,75.0,bullish,BUY,"investment, expansion, export_strategy, sector_momentum",82,2,"Solex Energy to invest $1.5 billion in solar manufacturing, eyes US exports","Solex Energy announces confirmed $1.5B (₹12,825cr) capex over 5 years to scale from 4GW to 10GW module capacity plus backward integration (10GW cells, 2GW wafers). Reuters-sourced article with specifi"
8,2,-6,BRIGADE,BRIGADE ENTERPRISES LIMITED,74.9,52.56,-22.34,REALTY,50.4,0.38,0,75.0,bullish,BUY,"earnings, revenue_growth, sector_momentum, leasing_expansion",85,1,Brigade Group’s PAT up 48% at ₹170 crore for Q2FY26,"Brigade Group delivered exceptional Q2FY26 results with 48% YoY PAT growth to ₹170 crore and 26% revenue growth to ₹1,430 crore, supported by strong pre-sales of ₹2,034 crore and robust leasing portfo"
9,6,-3,ARVIND,ARVIND LIMITED,71.5,51.27,-20.23,GENERAL,50.0,0.22,0,75.0,bullish,HOLD,"expansion, contract, investment",75,2,Arvind SmartSpaces eyes over Rs 700 cr revenue from housing project at Vadodara ,Arvind SmartSpaces announces Rs 700cr+ revenue potential from Vadodara housing project (23rd project in Gujarat). This is a confirmed Joint Development with specific revenue target from tier-1 source 
10,4,-6,NMDC,NMDC LIMITED,74.0,49.85,-24.15,METAL,40.8,0.44,0,75.0,bullish,HOLD,"earnings, sector_momentum",75,2,NMDC Steel Q2 loss narrows to  ₹114 crore,"NMDC Steel showed significant improvement with Q2 loss narrowing 80% YoY to ₹115cr from ₹595cr, while revenue more than doubled to ₹3,411cr. However, still loss-making with expenses exceeding revenue."
