ticker,recommendation,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,urgency_score,primary_reasons,summary
KEC,HOLD,44,30,20,LOW,45,50,45,"RSI oversold at 22.8 (potential further downside), Low volume on downtrend (weak support)","HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
PETRONET,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
DEEPAKNTR,HOLD,40,30,10,NONE,45,50,45,RSI oversold at 25.3 (potential further downside),"HOLD suggested. Tech=10/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
AURIGROW,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
SAGILITY,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
CIPLA,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
UPL,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
BANARBEADS,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
ALPA,HOLD,44,30,20,LOW,45,50,45,Death cross: 20-day SMA below 50-day SMA (bearish),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
DBCORP,HOLD,47,30,30,LOW,45,50,45,"Low volume on downtrend (weak support), Death cross: 20-day SMA below 50-day SMA (bearish)","HOLD suggested. Tech=30/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
BFUTILITIE,MONITOR,64,30,70,HIGH,45,50,55,"Price 5.2% below 20-day SMA (breakdown), RSI oversold at 23.0 (potential further downside), Negative 10-day momentum: -6.7%","MONITOR suggested. Tech=70/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
VIKRAMAR,HOLD,37,30,0,NONE,45,50,45,No technical data available,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
BHEL,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
CAPACITE,HOLD,44,30,20,LOW,45,50,45,Death cross: 20-day SMA below 50-day SMA (bearish),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
CROMPTON,HOLD,44,30,20,LOW,45,50,45,Death cross: 20-day SMA below 50-day SMA (bearish),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
DATAPATTNS,HOLD,40,30,10,NONE,45,50,45,Low volume on downtrend (weak support),"HOLD suggested. Tech=10/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
EASEMYTRIP,HOLD,44,30,20,LOW,45,50,45,Death cross: 20-day SMA below 50-day SMA (bearish),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
GATECHDVR,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
HUDCO,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
IDBI,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
MGL,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
NBCC,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
RBLBANK,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
GLENMARK,HOLD,44,30,20,LOW,45,50,45,Death cross: 20-day SMA below 50-day SMA (bearish),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
INDINFO,HOLD,37,30,0,NONE,45,50,45,No technical data available,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=gemini."
