ticker,recommendation,decision_band,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,liquidity_risk,index_tailwind,urgency_score,primary_reasons,summary
KEC,MONITOR,MONITOR,52,75,35,LOW,50,90,35,0,80,,
PETRONET,MONITOR,HOLD,37,75,0,NONE,50,90,20,0,80,,
DEEPAKNTR,MONITOR,HOLD,49,75,27,LOW,50,90,35,0,80,,
AURIGROW,MONITOR,HOLD,43,50,5,NONE,50,90,80,0,80,,
SAGILITY,MONITOR,HOLD,39,75,5,NONE,50,90,20,0,80,,
CIPLA,MONITOR,HOLD,44,75,17,NONE,50,90,20,0,80,,
UPL,MONITOR,HOLD,37,75,0,NONE,50,90,20,0,80,,
BANARBEADS,MONITOR,HOLD,43,75,5,NONE,50,90,80,0,80,,
ALPA,MONITOR,HOLD,49,75,20,LOW,50,90,80,0,80,,
DBCORP,MONITOR,MONITOR,53,75,33,LOW,50,90,55,0,80,,
BFUTILITIE,IMMEDIATE_EXIT,EXIT,71,75,80,CRITICAL,50,90,55,0,80,,
VIKRAMAR,IMMEDIATE_EXIT,EXIT,75,75,85,CRITICAL,50,90,80,0,80,,
BHEL,MONITOR,HOLD,37,75,0,NONE,50,90,20,0,80,,
CAPACITE,MONITOR,HOLD,47,75,20,LOW,50,90,55,0,80,,
CROMPTON,MONITOR,HOLD,48,75,27,LOW,50,90,20,0,80,,
DATAPATTNS,MONITOR,HOLD,43,75,15,NONE,50,90,20,0,80,,
EASEMYTRIP,MONITOR,MONITOR,50,75,27,LOW,50,90,55,0,80,,
GATECHDVR,MONITOR,MONITOR,50,75,22,LOW,50,90,80,0,80,,
HUDCO,MONITOR,HOLD,37,75,0,NONE,50,90,20,0,80,,
IDBI,MONITOR,HOLD,39,75,5,NONE,50,90,20,0,80,,
MGL,MONITOR,HOLD,41,75,7,NONE,50,90,35,0,80,,
NBCC,MONITOR,HOLD,37,75,0,NONE,50,90,20,0,80,,
RBLBANK,MONITOR,HOLD,39,75,5,NONE,50,90,20,0,80,,
GLENMARK,MONITOR,HOLD,45,75,20,LOW,50,90,20,0,80,,
INDINFO,IMMEDIATE_EXIT,EXIT,81,75,100,CRITICAL,50,90,80,0,80,,
