rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,headline,reasoning
1,QUESS,QUESS CORP LIMITED,86.1,bullish,BUY,"earnings, investment, expansion, contract","Regulatory/probe risk, FX/currency risk",85,1,48.1,"Quess Corp Q2 Results: Revenue up 3%, headcount rises by 21,000 ","Detected 4 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. From economictimes.indiatimes.com [tier1:0.95]. Score: 100/100. Certainty: 85%. BULLISH. PR-like."
2,HEIDELBERG,HEIDELBERGCEMENT INDIA LIMITED,78.2,bullish,BUY,"earnings, investment, expansion","Regulatory/probe risk, FX/currency risk",92,1,57.8,Heidelberg Cement India Q2 Results: Profit surges two-fold to Rs 25 crore ,"Detected 3 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. From economictimes.indiatimes.com [tier1:0.95]. Score: 91/100. Certainty: 92%. BULLISH."
3,STANLEY,STANLEY LIFESTYLES LIMITED,77.0,bullish,ACCUMULATE,"earnings, m&a, investment, expansion","Regulatory/probe risk, FX/currency risk",57,1,33.2,"Goldman Sachs, Morgan Stanley buy Aditya Birla Capital stake in Rs 819 crore block deal ","Detected 4 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. From economictimes.indiatimes.com [tier1:0.95]. Score: 100/100. Certainty: 57%. BULLISH."
4,ARVIND,ARVIND LIMITED,73.1,bullish,ACCUMULATE,"investment, expansion","Regulatory/probe risk, FX/currency risk, Geopolitical risk",66,2,53.5,Arvind SmartSpaces enters Vadodara with ₹700 cr residential project,"Detected 2 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk, Geopolitical risk. From www.thehindubusinessline.com [unknown:0.65]. Score: 78/100. Certainty: 66%. BULLISH."
5,NMDC,NMDC LIMITED,62.3,bullish,ACCUMULATE,earnings,"Regulatory/probe risk, Input cost volatility, FX/currency risk, Geopolitical risk",56,2,63.6,"NMDC PAT up 33 % at ₹1,694 cr in Q2","Detected 1 catalyst(s). Risks: Regulatory/probe risk, Input cost volatility, FX/currency risk. From www.thehindubusinessline.com [unknown:0.65]. Score: 72/100. Certainty: 56%. BULLISH."
6,STAR,STRIDES PHARMA SCIENCE LIMITED,61.9,bullish,ACCUMULATE,earnings,"Regulatory/probe risk, FX/currency risk, Geopolitical risk",56,1,64.7,Five-Star Business Finance profit up 7% in Q2FY26,"Detected 1 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk, Geopolitical risk. From www.thehindubusinessline.com [unknown:0.65]. Score: 75/100. Certainty: 56%. BULLISH."
7,BRIGADE,BRIGADE ENTERPRISES LIMITED,55.2,bullish,HOLD,earnings,"Regulatory/probe risk, FX/currency risk",66,1,59.9,Brigade Group’s PAT up 48% at ₹170 crore for Q2FY26,"Detected 1 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. From www.thehindubusinessline.com [unknown:0.65]. Score: 66/100. Certainty: 66%. BULLISH."
8,MRPL,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,51.9,bullish,HOLD,contract,"Regulatory/probe risk, FX/currency risk, Geopolitical risk",60,1,67.6,MRPL wins Innovation Award at Energy Technology Meet,"Detected 1 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk, Geopolitical risk. From www.thehindubusinessline.com [unknown:0.65]. Score: 59/100. Certainty: 60%. BULLISH."
9,AAKASH,AAKASH EXPLORATION SERVICES LIMITED,49.7,bullish,HOLD,investment,"Regulatory/probe risk, FX/currency risk",44,1,43.5,Aakash shareholders approve increase in authorised share capital following NCLAT nod,"Detected 1 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. From www.thehindubusinessline.com [unknown:0.65]. Score: 65/100. Certainty: 44%. BULLISH."
10,MARINE,MARINE ELECTRICALS (INDIA) LIMITED,35.9,neutral,WATCH,,"Regulatory/probe risk, FX/currency risk",66,1,52.0,National Marine Fisheries Census: Household enumeration to be launched on Friday,"Detected 0 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. From www.thehindubusinessline.com [unknown:0.65]. Score: 36/100. Certainty: 66%. NEUTRAL."
