rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,headline,reasoning
1,SOLEX,SOLEX ENERGY LIMITED,78.2,bullish,HOLD,"expansion, investment, contract, sector_momentum","US tariff uncertainty (up to 50% on Indian solar panels), Oversupply in domestic market as project bidding slows, Fundraising execution risk ($1.5B over 5 years), High capex intensity may pressure margins short-term",80,2,38.0,"Solex Energy to invest $1.5 billion in solar manufacturing, eyes US exports","Solex Energy announces a massive $1.5 billion (₹12,533 crore) expansion over 5 years with specific capacity targets: 10 GW modules, 10 GW cells, 2 GW ingots/wafers. The company is strategically positi"
2,NMDC,NMDC LIMITED,76.1,bullish,BUY,"earnings, production_growth, sales_growth, sector_momentum","Commodity price volatility, Steel sector demand dependency, Government price controls on iron ore",85,2,63.6,"NMDC PAT up 33 % at ₹1,694 cr in Q2","NMDC delivered exceptional Q2 results with 33% PAT growth to ₹1,694cr, all-time high production (+23%) and sales (+10%). Strong domestic steel demand, record operational metrics, and tier-1 source con"
3,BRIGADE,BRIGADE ENTERPRISES LIMITED,73.5,bullish,BUY,"earnings, revenue_growth, sector_momentum","Real estate sector cyclicality, Interest rate sensitivity, Execution risk on large pipeline",85,1,59.9,Brigade Group’s PAT up 48% at ₹170 crore for Q2FY26,"Brigade Group reported exceptional Q2FY26 results with 48% YoY PAT growth to ₹170cr, 26% revenue growth to ₹1,430cr, and strong operational metrics (₹2,034cr pre-sales, 92% leasing occupancy). The Hin"
4,HEIDELBERG,HEIDELBERGCEMENT INDIA LIMITED,72.5,bullish,BUY,"earnings, volume_growth, price_improvement, cost_optimization","Small absolute profit (₹25cr), Cement sector cyclicality, Regional player (limited scale), Parent company concentration risk",85,1,57.8,Heidelberg Cement India Q2 Results: Profit surges two-fold to Rs 25 crore ,"HeidelbergCement India reported exceptional Q2 FY26 results with 122% YoY profit surge to ₹25cr, driven by 9.2% volume growth, 2% price improvement, and 41% EBITDA/tonne growth. Source credibility is "
5,STANLEY,STANLEY LIFESTYLES LIMITED,72.1,bullish,BUY,"institutional_investment, m&a, stake_acquisition, msci_inclusion_potential","profit_booking_after_rally, advent_exit_signals_valuation_peak, macroeconomic_headwinds_nbfc_sector",85,1,33.2,"Goldman Sachs, Morgan Stanley buy Aditya Birla Capital stake in Rs 819 crore block deal ","Goldman Sachs, Morgan Stanley, Norges Bank, and other marquee institutional investors acquired ₹819 crore stake at ₹308/share, signaling strong confidence. Stock up 75% YTD with potential MSCI inclusi"
6,STAR,STRIDES PHARMA SCIENCE LIMITED,69.9,bullish,BUY,"earnings, asset_growth, credit_quality_improvement","Marginal asset quality deterioration, Disbursements down 4% YoY due to tighter controls, Gross Stage 3 assets increased to 2.64%, Operating in competitive small-ticket loan space",75,1,64.7,Five-Star Business Finance profit up 7% in Q2FY26,"Five-Star Business Finance reported solid Q2FY26 results with 7% profit growth to ₹286cr and 18% YoY AUM growth to ₹12,847cr. Management indicates downtrend has been arrested with expectations of gree"
7,QUESS,QUESS CORP LIMITED,68.3,bullish,BUY,"earnings, headcount_expansion, sector_momentum, gst_reforms_tailwind","modest_revenue_growth_3pct, low_ebitda_margins_2pct, stock_near_52week_low, high_employee_cost_sensitivity",82,1,48.1,"Quess Corp Q2 Results: Revenue up 3%, headcount rises by 21,000 ","QUESS Corp reported strong Q2 FY26 results with record EBITDA of ₹77cr (+11% YoY) despite modest 3% revenue growth to ₹3,832cr. Key positives: aggressive headcount expansion of 21,000 associates (fest"
8,ARVIND,ARVIND LIMITED,66.7,neutral,HOLD,,,55,2,53.5,Arvind SmartSpaces enters Vadodara with ₹700 cr residential project,Detected 0 catalyst(s). Risks: None. From www.thehindubusinessline.com [unknown:0.65]. Score: 49/100. Certainty: 55%. NEUTRAL.
9,MRPL,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,62.2,bullish,HOLD,"innovation_recognition, technology_advancement, sector_momentum","no_immediate_revenue_impact, award_recognition_not_monetizable, crude_oil_price_volatility, public_sector_execution_delays",55,1,67.6,MRPL wins Innovation Award at Energy Technology Meet,"MRPL's Innovation Award for crude-to-chemicals technology demonstrates R&D capabilities and future competitive positioning in sustainable refining. However, this is recognition rather than immediate r"
10,AAKASH,AAKASH EXPLORATION SERVICES LIMITED,61.3,bullish,HOLD,"regulatory_approval, capital_restructuring, operational_continuity","dilution_from_rights_issue, ongoing_litigation_with_byjus, minority_shareholder_concerns, operational_stress_requiring_capital",62,1,43.5,Aakash shareholders approve increase in authorised share capital following NCLAT nod,"NCLAT approval for authorized share capital increase is a positive regulatory catalyst enabling operational continuity through rights issue. However, the need for urgent capital raise signals operatio"
11,MARINE,MARINE ELECTRICALS (INDIA) LIMITED,35.3,neutral,HOLD,,"News is about government fisheries census, not MARINE company stock, Complete ticker mismatch - article has no relevance to MARINE stock, Zero trading or investment implications",85,1,52.0,National Marine Fisheries Census: Household enumeration to be launched on Friday,"This article is about India's National Marine Fisheries Census (government initiative for fisher household enumeration), not about any publicly traded company named MARINE. There is a fundamental tick"
