rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,headline,reasoning
1,CANBK,CANARA BANK,68.6,bullish,ACCUMULATE,"earnings, investment, expansion","Regulatory/probe risk, FX/currency risk",57,2,74.4,"Bank of India, Canara Bank among 6 PSU banking stocks to hit 52-week highs; gain up to 14% in a mont","Detected 3 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: Bank of India, Canara Bank among 6 PSU banking stocks to hit 52-week highs; gain up to 14% in a"
2,ACC,ACC LIMITED,66.8,bullish,ACCUMULATE,"earnings, investment, expansion","Regulatory/probe risk, FX/currency risk",64,1,70.7,"ACC Q2 net profit soars 5x to Rs 1,119 crore on tax write-back and record sales ","Detected 3 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: ACC Q2 net profit soars 5x to Rs 1,119 crore on tax write-back and record sales ACC cement prof"
3,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,66.4,neutral,ACCUMULATE,"earnings, investment, expansion","Regulatory/probe risk, FX/currency risk",84,1,53.7,"CDSL Q2 results: Cons PAT declines over 13% YoY to Rs 140.21 cr, revenue slides marginally ","Detected 3 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: CDSL Q2 results: Cons PAT declines over 13% YoY to Rs 140.21 cr, revenue slides marginally CDSL"
4,PRUDENT,PRUDENT CORPORATE ADVISORY SERVICES LIMITED,65.7,bullish,ACCUMULATE,"earnings, investment, expansion","Regulatory/probe risk, FX/currency risk",68,1,37.7,Canara Bank-led consortium sells KTPL's Rs 520-crore debt to Prudent ARC ,"Detected 3 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: FX/currency risk: Canara Bank-led consortium sells KTPL's Rs 520-crore debt to Prudent ARC Canara Bank: Canara Bank-le"
5,FOCUS,FOCUS LIGHTING AND FIXTURES LIMITED,62.6,bullish,BUY,"earnings, investment, expansion",Regulatory/probe risk,44,1,34.3,"Morgan Stanley adds RIL, Varun Beverages to its focus list. Here’s why these 2 largecaps made the cu","Detected 3 catalyst(s). Risks: Regulatory/probe risk. Evidence: Regulatory/probe risk: Morgan Stanley adds RIL, Varun Beverages to its focus list.. From economictimes.indiatimes.com [tier1:0.95]. Scor"
6,URBAN,URBAN ENVIRO WASTE MANAGEMENT LIMITED,62.4,bullish,WATCH,"earnings, m&a, investment, expansion","Profitability risk (losses), Regulatory/probe risk, FX/currency risk",95,1,45.6,"Urban Company Q2 results: Cons net loss widens YoY to Rs 59 crore, revenue zooms 37% ","Detected 4 catalyst(s). Risks: Profitability risk (losses), Regulatory/probe risk, FX/currency risk. Evidence: Profitability risk (losses): Read Today's Paper Urban Company Q2 results: Cons net loss w"
7,RELIANCE,RELIANCE INDUSTRIES LIMITED,62.1,bullish,ACCUMULATE,"earnings, investment, expansion","Regulatory/probe risk, FX/currency risk",44,1,48.3,"Morgan Stanley adds RIL, Varun Beverages to its focus list. Here’s why these 2 largecaps made the cu","Detected 3 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: Morgan Stanley adds RIL, Varun Beverages to its focus list. | FX/currency risk: Morgan Stanley "
8,STANLEY,STANLEY LIFESTYLES LIMITED,62.0,bullish,BUY,"earnings, investment, expansion",Regulatory/probe risk,44,1,28.0,"Morgan Stanley adds RIL, Varun Beverages to its focus list. Here’s why these 2 largecaps made the cu","Detected 3 catalyst(s). Risks: Regulatory/probe risk. Evidence: Regulatory/probe risk: Morgan Stanley adds RIL, Varun Beverages to its focus list.. From economictimes.indiatimes.com [tier1:0.95]. Scor"
9,MADHUSUDAN,MADHUSUDAN MASALA LIMITED,60.3,neutral,ACCUMULATE,"earnings, investment, expansion","Regulatory/probe risk, FX/currency risk",50,1,46.1,Madhusudan Kela Portfolio: 7 stocks rally up to 67% in FY26; fresh bet in Q2 revealed ,"Detected 3 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: Madhusudan Kela Portfolio: 7 stocks rally up to 67% in FY26; fresh bet in Q2 revealed Madhusuda"
10,MARUTI,MARUTI SUZUKI INDIA LIMITED,45.4,bullish,HOLD,,FX/currency risk,70,1,62.6,"Maruti Suzuki sales rise 7% in October to 2.21 lakh units, hit record domestic high","Detected 0 catalyst(s). Risks: FX/currency risk. Evidence: FX/currency risk: Maruti Suzuki sales rise 7% in October to 2.21 lakh units, hit record domestic high Maruti Suzuki October sales rise 7% to "
