rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,current_price,price_timestamp,entry_zone_low,entry_zone_high,target_conservative,target_aggressive,stop_loss,fundamental_adjustment,quarterly_earnings_growth_yoy,annual_earnings_growth_yoy,profit_margin_pct,debt_to_equity,is_profitable,net_worth_positive,financial_health_status,headline,reasoning
1,DELHIVERY,DELHIVERY LIMITED,55.7,bullish,HOLD,,,72,1,72.1,484.85,2025-11-06T01:43:58.772080,477.58,487.27,496.97,509.09,472.73,+9.94,67.49,165.06,3.97,0.15,TRUE,TRUE,healthy,"Delhivery Q2 Results: Co turns to red, suffers net loss of Rs 50 crore despite 17% rise in revenue ","Detected 5 catalyst(s). Risks: Profitability risk (losses), Regulatory/probe risk, FX/currency risk. Evidence: FX/currency risk: Delhivery Q2 Results: Co turns to red, suffers net loss of Rs 50 crore "
2,BRITANNIA,BRITANNIA INDUSTRIES LIMITED,54.2,bullish,HOLD,,,82,2,54.2,5892.50,2025-11-06T01:41:52.960951,5833.57,5892.50,6128.20,6363.90,5656.80,+5.60,2.98,1.82,11.48,0.29,TRUE,TRUE,healthy,Britannia Q2 net profit zooms 23% to ₹655 cr,Detected 1 catalyst(s). Risks: FX/currency risk. Evidence: FX/currency risk: Britannia Q2 net profit zooms 23% to ₹655 cr Britannia Q2 net profit zooms 23% to ₹655 cr - The HinduBusinessLine SENSEX &n
3,CUPID,CUPID LIMITED,53.9,bullish,HOLD,,,82,1,55.4,241.11,2025-11-06T00:54:28.553828,237.49,242.32,247.14,253.17,235.08,+7.59,81.82,2.59,25.09,0.06,TRUE,TRUE,healthy,Cupid bags ₹115 crore order in South Africa,Detected 2 catalyst(s). Risks: FX/currency risk. Evidence: FX/currency risk: Cupid bags ₹115 crore order in South Africa Cupid bags ₹115 crore order in South Africa - The HinduBusinessLine SENSEX &nbs
4,EMBASSY,EMBASSY OFFICE PARKS REIT,51.8,bullish,HOLD,,,92,2,67.3,369.92,2025-11-06T00:59:03.056016,364.37,371.77,379.17,388.42,360.67,+2.11,-13.20,68.51,14.64,0.95,,TRUE,moderate,"Embassy REIT Q2 revenue rises 13% YoY to Rs 1,124 crore; NOI up 15% ","Detected 5 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: Embassy REIT Q2 revenue rises 13% YoY to Rs 1,124 crore; NOI up 15% Embassy REIT Q2 revenue ris"
5,CHALET,CHALET HOTELS LIMITED,51.3,bullish,HOLD,,,82,1,63.2,962.15,2025-11-06T00:52:16.710814,947.72,966.96,986.20,1010.26,938.10,+3.99,234.85,-48.75,22.71,0.85,TRUE,TRUE,moderate,"Chalet Hotels posts revenue of Rs 735 cr for Q2, PAT at Rs 154 cr ","Detected 4 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: Chalet Hotels posts revenue of Rs 735 cr for Q2, PAT at Rs 154 cr Chalet Hotels posts revenue o"
6,GRASIM,GRASIM INDUSTRIES LIMITED,50.9,bullish,HOLD,,,82,2,54.2,2882.00,2025-11-06T01:46:03.379026,2853.18,2882.00,2997.28,3112.56,2766.72,+1.53,31.97,-34.12,3.54,1.91,TRUE,TRUE,moderate,"Grasim Q2 net profit up 52% to ₹1,498 crore on better margins in cement, chemical biz","Detected 3 catalyst(s). Risks: FX/currency risk. Evidence: FX/currency risk: Grasim Q2 net profit up 52% to ₹1,498 crore on better margins in cement, chemical biz Grasim Q2 results: net profit up 52% "
7,MINDSPACE,MINDSPACE BUSINESS PARKS REIT,48.9,bullish,HOLD,,,76,1,60.5,345.06,2025-11-06T01:15:35.067821,339.88,346.79,353.69,362.31,336.43,+2.70,22.17,-9.29,21.49,0.72,,TRUE,moderate,Mindspace REIT Q2 operating income rises 26% on strong leasing ,"Detected 4 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: FX/currency risk: Mindspace REIT Q2 operating income rises 26% on strong leasing Mindspace REIT Q2 operating income ri"
8,SAREGAMA,SAREGAMA INDIA LIMITED,46.6,bullish,HOLD,,,68,1,47.7,452.45,2025-11-06T01:27:16.903622,447.93,452.45,470.55,488.65,434.35,+2.84,-0.70,3.37,17.73,0.00,TRUE,TRUE,moderate,Saregama Q2 net profit marginally lower at Rs 44 crore ,"Detected 4 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: Saregama Q2 net profit marginally lower at Rs 44 crore Saregama Q2 net profit marginally lower "
9,WORTH,WORTH PERIPHERALS LIMITED,45.2,neutral,HOLD,,,74,1,55.9,156.25,2025-11-06T01:38:44.015605,153.91,157.03,160.16,164.06,152.34,+2.25,,-2.82,7.22,0.11,TRUE,TRUE,moderate,"Gujarat govt to buy ₹15,000 crore worth of Kharif crops on MSP","Detected 0 catalyst(s). Risks: FX/currency risk. Evidence: FX/currency risk: Gujarat govt to buy ₹15,000 crore worth of Kharif crops on MSP Gujarat govt to buy ₹15,000 crore worth of Kharif crops on M"
10,KALPATARU,KALPATARU LIMITED,33.1,neutral,HOLD,,,40,1,44.2,376.85,2025-11-06T00:39:47.385607,371.20,378.73,386.27,395.69,367.43,-3.58,,49.14,-6.18,10.42,FALSE,TRUE,moderate,"Market Trading Guide: Buy Kalpataru Projects, Asahi India and 3 more smallcap stocks on Thursday for","Detected 3 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: Market Trading Guide: Buy Kalpataru Projects, Asahi India and 3 more smallcap stocks on Thursda"
