rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,current_price,price_timestamp,entry_zone_low,entry_zone_high,target_conservative,target_aggressive,stop_loss,fundamental_adjustment,quarterly_earnings_growth_yoy,annual_earnings_growth_yoy,profit_margin_pct,debt_to_equity,is_profitable,net_worth_positive,financial_health_status,catalyst_score,has_dividend,dividend_amount,has_bonus,bonus_ratio,headline,reasoning
1,BDL,BHARAT DYNAMICS LIMITED,88.2,bullish,BUY,"contract, government_order, defense_sector","Execution risk - delivery timeline and production capacity constraints, Defense sector dependency on government policy and budget allocation, Stock near neutral RSI (45) - limited technical momentum currently",90,1,42.7,1517.90,2025-11-13T08:40:35.491428,1495.13,1525.49,1555.85,1593.80,1479.95,+10.63,154.28,-10.29,7.94,0.00,TRUE,TRUE,moderate,5,TRUE,,FALSE,,"MoD signs ₹2,095-cr deal with BDL for anti-tank missiles","MoD signed confirmed ₹2,095.70 crore contract with BDL for INVAR anti-tank missiles - this is a substantial order (13.8% of BDL's FY25 revenue run-rate) with high execution visibility. Source is tier-"
2,SENCO,SENCO GOLD LIMITED,85.4,bullish,BUY,"earnings, revenue_growth, margin_expansion, festive_demand","High gold prices volatility, Seasonal demand peak may not sustain, RSI approaching overbought territory",85,1,56.8,330.00,2025-11-13T07:44:30.285032,326.70,330.00,343.20,356.40,316.80,+11.70,104.12,-11.99,5.73,1.05,TRUE,TRUE,moderate,8,TRUE,,FALSE,,Senco Gold net profit up 4 times to ₹49 crore on strong demand,"Senco Gold reported exceptional Q2 performance with net profit up 4x to ₹49cr and EBITDA doubling to ₹106cr, demonstrating strong operational leverage. Record Dhanteras/Diwali sales of ₹1,700cr despit"
3,ONESOURCE,ONESOURCE SPECIALTY PHARMA LIMITED,80.2,bullish,HOLD,"revenue_guidance_upgrade, capacity_expansion, sector_momentum, earnings_growth, biologics_pipeline","Customer regulatory approval dependency for GLP-1 generics, Patent expiry timeline risk (2026-2032 staggered openings), Stock in technical downtrend (RSI 31, below 20/50 DMA), Recent price decline of 6.6% over 10 days",80,1,42.5,1726.00,2025-11-13T08:20:02.994153,1700.11,1734.63,1769.15,1812.30,1682.85,+6.59,,95.41,2.79,0.16,TRUE,TRUE,healthy,0,FALSE,,FALSE,,Weight-loss drug boom helps OneSource lift revenue target to $500 mn,OneSource raised FY28 revenue guidance from $400M to $500M+ (25% increase) with confirmed Q2 results showing 12% YoY revenue growth and return to profitability (₹44.9cr profit vs ₹6cr loss YoY). The $
4,RELIANCE,RELIANCE INDUSTRIES LIMITED,71.2,neutral,HOLD,"shareholding_pattern, domestic_investor_confidence, institutional_rebalancing","FII selling pressure continues (stake reduced 19.21% to 18.65%), Stock down 9% in Q2 despite positive shareholding changes, High valuation at P/E 24.76 with moderate growth prospects, RSI approaching overbought at 68.66, limited near-term upside, No specific fundamental catalyst or revenue-driving event",75,1,58.0,1510.90,2025-11-13T08:44:55.805254,1488.24,1518.45,1548.67,1586.45,1473.13,+12.46,78.32,0.04,11.08,0.44,TRUE,TRUE,healthy,5,TRUE,₹5.5,FALSE,,"FIIs trim stake in Reliance Industries in Q2 but retail, MF raise bet ","Shareholding data shows domestic confidence with retail (6.92% to 7.08%) and MF (9.32% to 9.66%) increasing stakes, but FIIs reduced holdings (19.21% to 18.65%). While this signals strong domestic con"
5,APOLLO,APOLLO MICRO SYSTEMS LIMITED,59.9,bearish,HOLD,"earnings, restructuring_costs","Q2 PAT declined 13% YoY to ₹258cr due to ₹176cr restructuring provision, Sequential revenue growth weak, depends on rural demand recovery, Netherlands plant restructuring adds operational uncertainty, Stock trading below 50DMA (-8.5%) indicates weak momentum",85,1,54.5,279.45,2025-11-13T07:39:43.763703,276.66,279.45,290.63,301.81,268.27,+14.84,119.58,81.23,13.86,0.55,TRUE,TRUE,healthy,5,TRUE,,FALSE,,Apollo Tyres Q2 Results: Net profit slips 13% to Rs 258 crore ,"Apollo Tyres reported confirmed Q2 results with 13% YoY profit decline to ₹258cr, impacted by ₹176cr restructuring provision for Netherlands plant. While revenue grew 6.1% YoY to ₹6,831cr and manageme"
6,WEALTH,WEALTH FIRST PORTFOLIO MANAGERS LIMITED,52.5,bearish,HOLD,"market_correction, wealth_erosion, foreign_outflows","Article discusses overall market decline, not WEALTH company specifically, News describes Rs 2.6 lakh crore household equity wealth drop in Q2 FY26, Continued FPI outflows creating market headwinds, Broad-based selloff affecting largecap stocks, Ticker WEALTH appears to be mismatched - article is about aggregate household wealth erosion, not a specific company",85,1,37.2,1166.00,2025-11-13T08:37:56.588702,1148.51,1171.83,1195.15,1224.30,1136.85,+7.81,13.89,-20.00,64.32,0.00,TRUE,TRUE,moderate,5,TRUE,₹4.0,FALSE,,Stock market loss: Household equity wealth drops by Rs 2.6 lakh crore in Q2 ,This article discusses India's aggregate household equity wealth declining by Rs 2.6 lakh crore in Q2 FY26 due to market selloff and foreign outflows - it is NOT news about a specific company called W
7,VOLTAS,VOLTAS LIMITED,48.7,bearish,SELL,"earnings, results_metrics","Massive 76% profit decline to ₹31.5cr (Q2 FY26 vs Q2 FY25), Revenue down 10.37% YoY to ₹2,347cr, Core cooling products segment down 23.2% due to subdued summer and GST deferment, Higher marketing costs and under-absorption at new facilities pressuring margins, Fundamentals show Q-o-Q earnings down 41.72%, Y-o-Y down 57.98%, Stock already down 3.5% below 20DMA, oversold RSI 30.69 indicates panic selling may continue",95,1,49.1,1336.90,2025-11-13T08:46:18.903623,1323.53,1336.90,1390.38,1443.85,1283.42,+9.35,-57.98,233.88,3.59,0.14,TRUE,TRUE,moderate,5,TRUE,₹7.0,FALSE,,Voltas Q2 Results: Profit plunges 76% to Rs 31 crore ,"Voltas reported catastrophic Q2 FY26 results with 76% profit plunge to ₹31.5cr, missing expectations severely. The core cooling products segment collapsed 23.2%, and the company faces structural headw"
8,IDEA,VODAFONE IDEA LIMITED,42.9,neutral,HOLD,"52_week_high, sector_momentum","News is purely price-action based with no fundamental catalyst, Company remains unprofitable with negative net worth (-₹3.32 D/E ratio), 16% monthly gain may face profit-booking pressure near 52-week high, Article is a listicle covering 7 stocks - minimal IDEA-specific analysis, Structural concerns: -49.46% profit margin, poor financial health",55,1,68.1,10.47,2025-11-13T08:42:30.986171,10.31,10.52,10.73,10.99,10.21,-3.12,23.02,12.34,-49.46,-3.32,FALSE,FALSE,moderate,0,FALSE,,FALSE,,"Vodafone Idea, Vedanta among 7 largecap stocks hit 52-Week highs; up to 23% gains in a month ","IDEA hit 52-week high of ₹10.78 with 16% monthly gain, confirmed by Economic Times. However, this is purely momentum-driven with no fundamental catalyst. The company remains deeply unprofitable (profi"
9,WORTH,WORTH PERIPHERALS LIMITED,42.4,neutral,HOLD,,"News relevance: Ticker WORTH unrelated to Andhra Pradesh MoUs, No company-specific catalyst identified, Weak technicals: RSI 42.95, price below 20DMA and 50DMA, Negative momentum: -5.25% over 10 days, Below-average volume: 0.63x normal, Historical underperformance: 33.3% prediction accuracy for WORTH",85,1,40.8,159.00,2025-11-13T08:38:52.759801,156.62,159.79,162.97,166.95,155.03,+2.25,,-2.82,7.22,0.11,TRUE,TRUE,moderate,0,FALSE,,FALSE,,AP seals MoUs worth ₹3.65 lakh crore ahead of CII Summit,"The news article discusses Andhra Pradesh government MoUs worth ₹3.65 lakh crore, but there is NO connection to the ticker WORTH. The article mentions companies like ReNew Energy, Coromandel Internati"
10,AAKASH,AAKASH EXPLORATION SERVICES LIMITED,38.4,neutral,HOLD,"investment, m&a","Company not profitable with -92% earnings decline Y-o-Y, Leadership churn (CFO and CEO exits in recent months), Ongoing legal battles and insolvency proceedings involving Byju's, ₹250cr investment spread in tranches with performance conditions, Stake dilution for existing shareholders through rights issue, Poor technical setup: RSI 20 (oversold), downtrend, below all MAs",75,1,38.9,8.86,2025-11-13T07:25:48.383786,8.73,8.90,9.08,9.30,8.64,-9.57,-92.06,-70.34,1.08,0.39,FALSE,TRUE,concerning,0,FALSE,,FALSE,,Ranjan Pai to bring  ₹250 crore more into Aakash as Manipal bids for Byju's,"While the ₹250cr investment from Ranjan Pai is confirmed and credible (tier-1 source), the stock faces severe fundamental headwinds: -92% earnings decline Y-o-Y, not profitable, leadership exodus, and"
