rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,current_price,price_timestamp,entry_zone_low,entry_zone_high,target_conservative,target_aggressive,stop_loss,fundamental_adjustment,quarterly_earnings_growth_yoy,annual_earnings_growth_yoy,profit_margin_pct,debt_to_equity,is_profitable,net_worth_positive,financial_health_status,health_is_profitable,health_profit_loss,health_profit_loss_period,health_status,health_consecutive_losses,health_warning_flags,catalyst_score,has_dividend,dividend_amount,has_bonus,bonus_ratio,correction_detected,correction_pct,reversal_confirmed,correction_confidence,oversold_score,fundamental_confidence,catalyst_strength,boost_applied,boost_tier,correction_reasoning,risk_filters_passed,risk_violations,market_context,market_vix_level,supervisor_verdict,supervisor_confidence,supervision_notes,headline,reasoning
1,MARICO,MARICO LIMITED,81.7,bullish,ACCUMULATE,"earnings, m&a, investment, expansion, contract","Regulatory/probe risk, FX/currency risk",76,1,63.4,763.30,2025-11-17T23:44:33.487831,751.85,767.12,782.38,801.47,744.22,+7.95,-0.71,9.99,12.06,0.14,TRUE,TRUE,moderate,,,,,,,5,TRUE,₹7.0,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 0.0% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,"Q2 winners: Hero MotoCorp, Marico, 8 smallcaps enter Nuvama’s buy list; offer up to 56% upside ","Detected 5 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: Q2 winners: Hero MotoCorp, Marico, 8 smallcaps enter Nuvama’s buy list; offer up to 56% upside "
2,NUVAMA,NUVAMA WEALTH MANAGEMENT LIMITED,81.5,bullish,ACCUMULATE,"earnings, m&a, investment, expansion, contract","Regulatory/probe risk, FX/currency risk",76,1,58.1,7300.00,2025-11-17T23:45:36.978686,7190.50,7336.50,7482.50,7665.00,7117.50,+8.25,19.43,57.71,50.00,2.25,TRUE,TRUE,moderate,,,,,,,5,TRUE,₹70.0,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 5.7% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,"Q2 winners: Hero MotoCorp, Marico, 8 smallcaps enter Nuvama’s buy list; offer up to 56% upside ","Detected 5 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: FX/currency risk: Q2 winners: Hero MotoCorp, Marico, 8 smallcaps enter Nuvama’s buy list; offer up to 56% upside Q2 wi"
3,CLEAN,CLEAN SCIENCE AND TECHNOLOGY LIMITED,79.5,bullish,BUY,"investment, expansion, contract",,74,1,30.3,930.00,2025-11-17T22:56:01.026754,916.05,934.65,953.25,976.50,906.75,+10.80,6.27,8.35,28.85,0.00,TRUE,TRUE,healthy,,,,,,,5,TRUE,₹4.0,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 36.0% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,Welspun taps EY for next big clean-energy stake sale of $100 million,Detected 3 catalyst(s). Risks: None. Evidence: n/a. From www.livemint.com [unknown:0.65]. Score: 78/100. Certainty: 74%. BULLISH.
4,UPL,UPL LIMITED,77.0,bullish,ACCUMULATE,"earnings, investment, expansion","Regulatory/probe risk, FX/currency risk",57,1,59.4,763.60,2025-11-17T23:47:30.414713,752.15,767.42,782.69,801.78,744.51,+15.34,77.08,174.75,-0.95,0.78,TRUE,TRUE,healthy,,,,,,,5,TRUE,₹6.0,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 1.2% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,UPL Share Price Live Updates: UPL achieves a solid 13.08% return in three months ,"Detected 3 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: FX/currency risk: UPL Share Price Live Updates: UPL achieves a solid 13.08% return in three months UPL Share Price Liv"
5,PARAS,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED,74.9,bullish,BUY,contract,FX/currency risk,95,1,60.9,753.40,2025-11-17T22:43:44.027214,742.10,757.17,772.23,791.07,734.56,+15.14,0.13,97.98,15.96,0.04,TRUE,TRUE,healthy,,,,,,,8,TRUE,,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 9.9% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,Paras Defence wins ₹71.68 cr DRDO order for submarine optronic periscopes,Detected 1 catalyst(s). Risks: FX/currency risk. Evidence: FX/currency risk: Paras Defence wins ₹71.68 cr DRDO order for submarine optronic periscopes Paras Defence wins ₹71.68 cr DRDO order for subma
6,PAYTM,ONE 97 COMMUNICATIONS LIMITED,73.6,bullish,ACCUMULATE,"earnings, investment, expansion","Regulatory/probe risk, FX/currency risk",68,1,56.0,1308.50,2025-11-17T23:45:59.715976,1288.87,1315.04,1341.21,1373.92,1275.79,+4.06,114.60,53.51,6.39,0.01,FALSE,TRUE,moderate,,,,,,,0,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 2.7% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,"Paytm shares fall 2% as PE funds offload stake in Rs 1,640-crore block deal: Report ","Detected 3 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: FX/currency risk: Paytm shares fall 2% as PE funds offload stake in Rs 1,640-crore block deal: Report Paytm shares fal"
7,WORTH,WORTH PERIPHERALS LIMITED,65.7,bullish,BUY,"investment, expansion",,76,2,42.2,159.00,2025-11-17T23:39:57.118879,156.62,159.79,162.97,166.95,155.03,+2.25,,-2.82,7.22,0.11,TRUE,TRUE,moderate,,,,,,,0,FALSE,,FALSE,,TRUE,14.3%,FALSE,,,,,,,Stock showing correction but reversal signals insufficient: 0 technical signal(s),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,AI bubble burst coming? Concerns jump after billionaire Peter Thiel's fund sells entire $100 million,Detected 2 catalyst(s). Risks: None. Evidence: n/a. From www.livemint.com [unknown:0.65]. Score: 75/100. Certainty: 76%. BULLISH.
8,BSE,BSE LIMITED,63.2,neutral,HOLD,investment,"Regulatory/probe risk, FX/currency risk",55,1,56.3,2848.20,2025-11-17T23:41:46.392777,2805.48,2862.44,2919.40,2990.61,2776.99,+18.20,61.05,70.34,52.27,0.00,TRUE,TRUE,healthy,,,,,,,10,FALSE,,TRUE,2:1,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 0.0% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,"Emmvee Photovoltaic Share Price Listing Live: Makes flat debut at Rs 217 on NSE, BSE","Detected 1 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: Emmvee Photovoltaic Share Price Listing Live: Makes flat debut at Rs 217 on NSE, BSE Emmvee Pho"
9,BRIGADE,BRIGADE ENTERPRISES LIMITED,43.6,neutral,WATCH,,FX/currency risk,48,1,33.3,939.20,2025-11-17T22:54:13.368726,925.11,943.90,962.68,986.16,915.72,+11.84,79.03,51.85,11.70,1.06,TRUE,TRUE,healthy,,,,,,,5,TRUE,₹2.5,FALSE,,TRUE,16.8%,FALSE,,,,,,,Stock showing correction but reversal signals insufficient: 0 technical signal(s),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,Jaguar Land Rover inks fresh 1.46 lakh sq ft in Bengaluru's Brigade Tech Park,Detected 0 catalyst(s). Risks: FX/currency risk. Evidence: FX/currency risk: Jaguar Land Rover inks fresh 1.46 lakh sq ft in Bengaluru's Brigade Tech Park Jaguar Land Rover inks fresh 1.46 lakh sq ft 
10,IIFL,IIFL FINANCE LIMITED,35.3,bullish,WATCH,,FX/currency risk,55,1,64.9,560.50,2025-11-17T23:43:30.730403,552.09,563.30,574.51,588.52,546.49,-8.38,-18.99,-78.52,13.97,4.15,TRUE,TRUE,concerning,,,,,,,0,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 0.2% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,Stock to buy today: IIFL Finance (₹561.80) – BUY,Detected 0 catalyst(s). Risks: FX/currency risk. Evidence: FX/currency risk: Stock to buy today: IIFL Finance (₹561.80) – BUY Stock to buy today: IIFL Finance (₹561.80) – BUY - The HinduBusinessLine S
