rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,current_price,price_timestamp,entry_zone_low,entry_zone_high,target_conservative,target_aggressive,stop_loss,fundamental_adjustment,quarterly_earnings_growth_yoy,annual_earnings_growth_yoy,profit_margin_pct,debt_to_equity,is_profitable,net_worth_positive,financial_health_status,health_is_profitable,health_profit_loss,health_profit_loss_period,health_status,health_consecutive_losses,health_warning_flags,catalyst_score,has_dividend,dividend_amount,has_bonus,bonus_ratio,correction_detected,correction_pct,reversal_confirmed,correction_confidence,oversold_score,fundamental_confidence,catalyst_strength,boost_applied,boost_tier,correction_reasoning,risk_filters_passed,risk_violations,market_context,market_vix_level,supervisor_verdict,supervisor_confidence,supervision_notes,headline,reasoning
1,PARAS,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED,85.7,bullish,BUY,"contract, defense_sector, make_in_india","Order completion timeline extends to Sept 2026 (long gestation), Defense sector subject to execution delays, Small deal size relative to market cap (₹72cr for defense company), RSI at 65.73 approaching overbought territory",85,1,60.9,753.40,2025-11-17T22:43:24.804197,742.10,757.17,772.23,791.07,734.56,+15.14,0.13,97.98,15.96,0.04,,TRUE,healthy,,,unknown,critical,None,ZERO_DATA_COLLECTED; UNABLE_TO_VERIFY_TICKER_VALIDITY; NO_PROFITABILITY_DATA; NO_REVENUE_DATA; NO_QUARTERLY_RESULTS; NO_BALANCE_SHEET_DATA; NO_CASH_FLOW_DATA; DATA_CONSISTENCY_ZERO; ANALYSIS_IMPOSSIBLE; POTENTIAL_DELISTING_OR_INVALID_TICKER,8,TRUE,,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 9.9% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,Paras Defence wins ₹71.68 cr DRDO order for submarine optronic periscopes,Paras Defence secured a confirmed ₹71.68cr DRDO order for submarine optronic periscopes with completion by Sept 2026. The Hindu BusinessLine (tier-1 source) provides specific numbers and official conf
2,MARICO,MARICO LIMITED,78.2,bullish,HOLD,"brokerage_upgrade, earnings_beat, target_price_revision, sector_momentum","RSI overbought at 75.93 indicates potential short-term pullback risk, Volume ratio at 0.52 shows below-average participation despite price rise, Quarterly earnings declined -0.7% YoY despite revenue growth, Price already up 5.13% above 20DMA - limited immediate upside",72,1,63.4,762.10,2025-11-17T23:57:03.625341,750.67,765.91,781.15,800.21,743.05,+7.95,-0.71,9.99,12.06,0.14,TRUE,TRUE,moderate,TRUE,,unknown,healthy,0,Minor quarterly earnings decline (-0.7% Y-o-Y) - not concerning given strong revenue growth,5,TRUE,₹7.0,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 0.0% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,"Q2 winners: Hero MotoCorp, Marico, 8 smallcaps enter Nuvama’s buy list; offer up to 56% upside ",Marico enters Nuvama's buy list post Q2 earnings beat with 14% upside target of ₹865 (vs current ₹762). Q2 revenue surged 31% YoY with India volume growth of 7% and international business up 20% in co
3,CLEAN,CLEAN SCIENCE AND TECHNOLOGY LIMITED,75.0,bullish,HOLD,"m&a, investment, sector_momentum","Majority stake sale may dilute promoter control, Contract cleanup by power ministry creates uncertainty for green energy sector, Stock deeply oversold (RSI 19) - may need consolidation before rally, Low volume (5% of average) indicates weak institutional interest currently",68,1,30.3,931.40,2025-11-17T22:58:57.541179,917.43,936.06,954.68,977.97,908.12,+10.80,6.27,8.35,28.85,0.00,,TRUE,healthy,,,unknown,critical,None,ZERO_DATA_POINTS; TICKER_VERIFICATION_REQUIRED; ANALYSIS_IMPOSSIBLE; POTENTIAL_DELISTED_STOCK; DATA_FETCH_COMPLETE_FAILURE; NO_FINANCIAL_STATEMENTS_FOUND; INVESTMENT_DECISION_BLOCKED,5,TRUE,₹4.0,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 35.9% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,Welspun taps EY for next big clean-energy stake sale of $100 million,"Welspun's $100M stake sale in its clean energy arm signals strong investor interest in India's renewable sector, backed by robust fundamentals (83% of power investments went to clean energy in 2024, $"
4,BRIGADE,BRIGADE ENTERPRISES LIMITED,73.5,bullish,HOLD,"contract, expansion, revenue_visibility","News is about tenant JLR, not direct Brigade revenue catalyst, Brigade is landlord - rent income is steady but not high-growth, RSI at 8.11 indicates extreme oversold (potential bounce or further selling), Price down 7.8% in 10 days with weak volume (0.036x), Steep 15% quarterly escalation may pressure tenant retention",72,1,33.3,938.50,2025-11-17T22:55:45.698105,924.42,943.19,961.96,985.43,915.04,+11.84,79.03,51.85,11.70,1.06,,TRUE,healthy,,,unknown,critical,None,ZERO_DATA_POINTS_AVAILABLE; CANNOT_VERIFY_COMPANY_EXISTS; NO_QUARTERLY_RESULTS_DATA; NO_REVENUE_OR_PROFIT_DATA; NO_BALANCE_SHEET_INFORMATION; COMPLETE_ANALYSIS_FAILURE; INVESTMENT_DECISION_IMPOSSIBLE,5,TRUE,₹2.5,FALSE,,TRUE,16.9%,FALSE,,,,,,,Stock showing correction but reversal signals insufficient: 0 technical signal(s),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,Jaguar Land Rover inks fresh 1.46 lakh sq ft in Bengaluru's Brigade Tech Park,Brigade Tech Park secured a significant 5-year lease with Jaguar Land Rover for 1.46 lakh sq ft at ₹1.67cr/month (₹100.2cr total over 5 years). While this confirms revenue visibility and occupancy str
5,ETERNAL,ETERNAL LIMITED,68.9,bullish,BUY,"analyst_upgrade, price_target_revision, market_share_gains, sector_momentum","Recent 63% YoY profit decline in Q2 FY26, Quick-commerce segment losses weighing on profitability, Stretched valuations despite correction, Soft discretionary consumption environment in India",72,1,30.0,309.15,2025-11-17T23:51:56.913924,304.51,310.70,316.88,324.61,301.42,+1.38,-90.12,50.14,0.35,0.07,,TRUE,moderate,,,unknown,critical,None,ZERO_DATA_AVAILABLE; CANNOT_VERIFY_COMPANY_STATUS; IMPOSSIBLE_TO_ASSESS_PROFITABILITY; NO_REVENUE_DATA; NO_QUARTERLY_RESULTS; NO_FINANCIAL_STATEMENTS; COMPLETE_TRANSPARENCY_FAILURE; MAXIMUM_UNCERTAINTY_LEVEL,0,FALSE,,FALSE,,TRUE,12.7%,FALSE,,,,,,,Stock showing correction but reversal signals insufficient: 0 technical signal(s),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,Eternal shares to breach Rs 400? Morgan Stanley lists 3 reasons ,"Morgan Stanley's upgrade to Rs 427 target (38% upside) backed by three specific reasons provides strong catalyst. Despite Q2 profit decline, revenue surged 183% YoY. Oversold RSI (32.88) and 14-15% re"
6,UPL,UPL LIMITED,61.2,neutral,HOLD,"price_momentum, technical_breakout","Extremely overbought RSI at 78.69 signals imminent correction risk, No fundamental catalyst - purely technical/momentum news, Very low volume ratio (0.16) indicates lack of institutional conviction, Historical performance: 0% success rate across all UPL predictions, Stock at 52-week high with 13% 3-month return already priced in",75,1,59.4,761.50,2025-11-18T00:05:51.870331,750.08,765.31,780.54,799.58,742.46,+15.34,77.08,174.75,-0.95,0.78,FALSE,TRUE,healthy,FALSE,,unknown,healthy,0,,5,TRUE,₹6.0,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 1.5% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,UPL Share Price Live Updates: UPL achieves a solid 13.08% return in three months ,"While UPL shows strong recent momentum (13.08% in 3 months, 14.69% in 1 month, new 52-week high at ₹776), this is a purely retrospective price performance article with no fundamental catalyst. Critica"
7,IIFL,IIFL FINANCE LIMITED,57.7,bullish,BUY,"technical_breakout, analyst_recommendation, sector_momentum","Technical analysis-based recommendation (no fundamental catalyst), High debt-to-equity ratio of 4.15, Annual earnings declined -78.5% YoY, RSI at 68.47 approaching overbought territory, Volume ratio at 0.55 (below average confirmation)",65,1,64.9,560.40,2025-11-17T23:53:47.563638,551.99,563.20,574.41,588.42,546.39,-8.38,-18.99,-78.52,13.97,4.15,FALSE,TRUE,concerning,FALSE,,unknown,healthy,0,,0,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 0.2% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,Stock to buy today: IIFL Finance (₹561.80) – BUY,"Hindu BusinessLine provides specific technical buy recommendation with clear levels (entry ₹562, accumulate ₹552, targets ₹600). Stock trading in bull channel since mid-September with support at ₹540-"
8,MPHASIS,MPHASIS LIMITED,57.2,bearish,SELL,"block_deal, promoter_stake_sale, institutional_selling","Large promoter stake sale (9.5%) creates supply overhang, Blackstone exit signals potential concerns about growth outlook, Weak technicals - RSI at 27.78 indicates oversold but continued selling pressure, Price below both 20DMA (-4.69%) and 50DMA (-5.14%) in confirmed downtrend, 6x volume spike confirms heavy institutional selling pressure",90,1,47.5,2657.90,2025-11-17T23:58:53.459567,2618.03,2671.19,2724.35,2790.80,2591.45,+10.89,9.20,9.47,11.83,0.20,FALSE,TRUE,healthy,FALSE,,unknown,healthy,0,,5,TRUE,₹57.0,FALSE,,TRUE,11.4%,FALSE,,,,,,,Stock showing correction but reversal signals insufficient: 0 technical signal(s),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,"Mphasis shares drop 2% as Blackstone likely sells 9.5% stake in Rs 4,600-crore block deal ","Blackstone's ₹4,600 crore block deal to offload 9.5% stake at 4.4% discount to closing price is a major bearish catalyst. Stock already down 2.3% with 6x volume spike confirms heavy selling pressure. "
9,NUVAMA,NUVAMA WEALTH MANAGEMENT LIMITED,52.7,neutral,HOLD,brokerage_research,"News is about Nuvama's research report, not about Nuvama the company itself, Article discusses Nuvama's buy recommendations on OTHER stocks (Hero MotoCorp, Marico, etc.), No direct fundamental catalyst for NUVAMA stock, Recent downtrend with RSI at 46 (neutral momentum), Weak volume trend at 0.25x average (low participation), Historical poor performance: 0% success rate on all catalyst types for this ticker",85,1,58.1,7300.50,2025-11-18T00:01:19.654912,7190.99,7337.00,7483.01,7665.53,7117.99,+8.25,19.43,57.71,50.00,2.25,,TRUE,moderate,,,unknown,critical,None,ZERO_DATA_POINTS; CANNOT_ASSESS_PROFITABILITY; CANNOT_ASSESS_REVENUE_TREND; CANNOT_ASSESS_LOSS_QUARTERS; NO_FINANCIAL_HEALTH_METRICS; INVESTMENT_DECISION_IMPOSSIBLE; DATA_COLLECTION_SYSTEM_FAILURE,5,TRUE,₹70.0,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 5.7% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,"Q2 winners: Hero MotoCorp, Marico, 8 smallcaps enter Nuvama’s buy list; offer up to 56% upside ","The article is NOT about Nuvama Institutional Equities as an investment opportunity - it's about their brokerage research upgrading OTHER stocks (Hero MotoCorp, Marico, smallcaps). This creates no dir"
10,BSE,BSE LIMITED,51.2,neutral,SELL,,"News is about Emmvee Photovoltaic IPO listing, NOT about BSE operations, BSE is only mentioned as the exchange platform, not the subject company, No fundamental catalyst for BSE stock itself, Extremely overbought technical conditions (RSI 76.15), Significant correction risk from extended levels",85,2,56.3,2847.70,2025-11-17T23:48:44.211731,2804.98,2861.94,2918.89,2990.09,2776.51,+18.20,61.05,70.34,52.27,0.00,FALSE,TRUE,healthy,FALSE,,unknown,healthy,0,,10,FALSE,,TRUE,2:1,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 0.0% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,"Emmvee Photovoltaic Share Price Listing Live: Makes flat debut at Rs 217 on NSE, BSE","This news is entirely about Emmvee Photovoltaic's IPO listing on exchanges (NSE/BSE), not about BSE Limited's business operations. BSE is merely the platform mentioned. While BSE stock shows strong re"
