rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning
1,INDINFO,INDINFO,89.5,neutral,IMMEDIATE_EXIT,Price 7.9% below 20-day SMA (breakdown); Price 22.6% below 50-day SMA; RSI oversold at 27.8 (potential further downside),Some warning signs present,,30.0,1,100,Technical-only assessment (no recent news),"MONITOR suggested. Tech=100/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
2,VIKRAMAR,VIKRAMAR,77.5,neutral,MONITOR,Price 5.5% below 20-day SMA (breakdown); Price 13.5% below 50-day SMA; RSI oversold at 29.1 (potential further downside),Some warning signs present,,30.0,1,85,Technical-only assessment (no recent news),"MONITOR suggested. Tech=85/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
3,BFUTILITIE,BFUTILITIE,73.4,neutral,MONITOR,Price 5.2% below 20-day SMA (breakdown); RSI oversold at 23.0 (potential further downside); Negative 10-day momentum: -6.7%,Some warning signs present,,30.0,1,80,Technical-only assessment (no recent news),"MONITOR suggested. Tech=80/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
4,KEC,KEC,38.0,neutral,HOLD,RSI oversold at 22.8 (potential further downside); Low volume on downtrend (weak support); Close below lower Bollinger band,No urgent exit signals,,30.0,1,35,Technical-only assessment (no recent news),"HOLD suggested. Tech=35/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
5,DBCORP,DBCORP,36.6,neutral,HOLD,Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish); High short-term volatility (ATR 4.5% of price),No urgent exit signals,,30.0,1,33,Technical-only assessment (no recent news),"HOLD suggested. Tech=33/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
6,DEEPAKNTR,DEEPAKNTR,32.4,neutral,HOLD,RSI oversold at 25.3 (potential further downside); Unusual volume spike on down move; Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,27,Technical-only assessment (no recent news),"HOLD suggested. Tech=27/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
7,CROMPTON,CROMPTON,32.4,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,27,Technical-only assessment (no recent news),"HOLD suggested. Tech=27/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
8,EASEMYTRIP,EASEMYTRIP,32.4,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,27,Technical-only assessment (no recent news),"HOLD suggested. Tech=27/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
9,GATECHDVR,GATECHDVR,28.9,neutral,HOLD,Unusual volume spike on down move; High short-term volatility (ATR 5.6% of price); Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,22,Technical-only assessment (no recent news),"HOLD suggested. Tech=22/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
10,ALPA,ALPA,27.5,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,,30.0,1,20,Technical-only assessment (no recent news),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
11,CAPACITE,CAPACITE,27.5,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,,30.0,1,20,Technical-only assessment (no recent news),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
12,GLENMARK,GLENMARK,27.5,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,,30.0,1,20,Technical-only assessment (no recent news),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
13,CIPLA,CIPLA,25.4,neutral,HOLD,Unusual volume spike on down move; Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,17,Technical-only assessment (no recent news),"HOLD suggested. Tech=17/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
14,DATAPATTNS,DATAPATTNS,24.0,neutral,HOLD,Low volume on downtrend (weak support); Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,15,Technical-only assessment (no recent news),"HOLD suggested. Tech=15/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
15,MGL,MGL,18.4,neutral,HOLD,Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,7,Technical-only assessment (no recent news),"HOLD suggested. Tech=7/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
16,AURIGROW,AURIGROW,17.0,neutral,HOLD,High short-term volatility (ATR 4.0% of price),No urgent exit signals,,30.0,1,5,Technical-only assessment (no recent news),"HOLD suggested. Tech=5/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
17,SAGILITY,SAGILITY,17.0,neutral,HOLD,High short-term volatility (ATR 4.3% of price),No urgent exit signals,,30.0,1,5,Technical-only assessment (no recent news),"HOLD suggested. Tech=5/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
18,BANARBEADS,BANARBEADS,17.0,neutral,HOLD,High short-term volatility (ATR 5.8% of price),No urgent exit signals,,30.0,1,5,Technical-only assessment (no recent news),"HOLD suggested. Tech=5/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
19,IDBI,IDBI,17.0,neutral,HOLD,High short-term volatility (ATR 3.4% of price),No urgent exit signals,,30.0,1,5,Technical-only assessment (no recent news),"HOLD suggested. Tech=5/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
20,RBLBANK,RBLBANK,17.0,neutral,HOLD,High short-term volatility (ATR 3.3% of price),No urgent exit signals,,30.0,1,5,Technical-only assessment (no recent news),"HOLD suggested. Tech=5/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
21,PETRONET,PETRONET,13.5,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,30.0,1,0,Technical-only assessment (no recent news),"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
22,UPL,UPL,13.5,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,30.0,1,0,Technical-only assessment (no recent news),"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
23,BHEL,BHEL,13.5,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,30.0,1,0,Technical-only assessment (no recent news),"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
24,HUDCO,HUDCO,13.5,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,30.0,1,0,Technical-only assessment (no recent news),"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
25,NBCC,NBCC,13.5,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,30.0,1,0,Technical-only assessment (no recent news),"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
