rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning,stop,trail,alert
1,KEC,KEC,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 801.91 (swing_low - 1.0*ATR),23.76 (1.5×ATR),20DMA
2,PETRONET,PETRONET,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 271.01 (swing_low - 1.0*ATR),6.88 (1.5×ATR),20DMA
3,DEEPAKNTR,DEEPAKNTR,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 1703.29 (swing_low - 1.0*ATR),37.67 (1.5×ATR),20DMA
4,AURIGROW,AURIGROW,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,,0.03 (1.5×ATR),
5,SAGILITY,SAGILITY,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 41.17 (swing_low - 1.0*ATR),3.40 (1.5×ATR),20DMA
6,CIPLA,CIPLA,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 1458.95 (swing_low - 1.0*ATR),53.48 (1.5×ATR),20DMA
7,UPL,UPL,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 655.90 (swing_low - 1.0*ATR),21.07 (1.5×ATR),20DMA
8,BANARBEADS,BANARBEADS,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 131.98 (swing_low - 1.0*ATR),12.48 (1.5×ATR),20DMA
9,ALPA,ALPA,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 84.45 (swing_low - 1.0*ATR),3.48 (1.5×ATR),20DMA
10,DBCORP,DBCORP,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 227.37 (swing_low - 1.0*ATR),18.05 (1.5×ATR),20DMA
11,BFUTILITIE,BFUTILITIE,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 707.76 (swing_low - 1.0*ATR),34.79 (1.5×ATR),20DMA
