rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning,stop,trail,alert
1,INDINFO,INDINFO,95.0,neutral,IMMEDIATE_EXIT,Price 7.9% below 20-day SMA (breakdown); Price 22.6% below 50-day SMA; RSI oversold at 27.8 (potential further downside); Negative 10-day momentum: -8.7%; Low volume on downtrend (weak support),,,50.0,1,100,Technical-only assessment (no recent news),Tech-driven assessment: score=75; signals: Price 7.9% below 20-day SMA (breakdown); Price 22.6% below 50-day SMA,close< 0.69 (swing_low - 1.0*ATR),0.06 (1.5×ATR),20DMA
2,VIKRAMAR,VIKRAMAR,81.6,neutral,IMMEDIATE_EXIT,Price 5.5% below 20-day SMA (breakdown); Price 13.5% below 50-day SMA; RSI oversold at 29.1 (potential further downside); Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish),Some warning signs present,,50.0,1,85,Technical-only assessment (no recent news),Tech-driven assessment: score=68; signals: Price 5.5% below 20-day SMA (breakdown); Price 13.5% below 50-day SMA,close< 73.13 (swing_low - 1.0*ATR),7.61 (1.5×ATR),20DMA
3,CIPLA,CIPLA,49.7,bearish,HOLD,Price below 20-day and 50-day moving averages; Negative 10-day momentum; High volume ratio indicating strong selling pressure; Recent trend is down,"News is neutral to slightly positive, focusing on marketing and leadership changes, not fundamental deterioration; No profit warnings, analyst downgrades, or regulatory issues reported in the news",Continued price depreciation due to bearish technicals; Opportunity cost of capital in a declining stock,35.5,10,40.3261821742043,https://news.google.com/rss/articles/CBMisAJBVV95cUxPbW9uUjZBUDNIb1Q5WHBESnN1cnpLREdpSjJFME5sRkJiSzVrZTdVRWRrVkhERzFhbzJvZzQ3MDc0bkVPaWpsNkR2d0lwdC1RN01SR0tGa0hka28wdVNvTVJnQ2gzbG9jU0NqX3BycnRFak5LUXlXUHFMbzJHNEdoV1UwZXc1dzFmcExCZ3hyeFg1QkVYc0wwSzYwNExiTWZoSVBZZ0szNUVJZXltbFhjQzk4UnR4RHRueXk5MkZKOXpidjZIRGcwSGE0Z1Bad3hycFhPYjlxWm56T2JwdmNLX1kwMnlnRHRMeFJrNGY2M1VLbkJmT2RnR1dTSmpjMUdlN2pCN3Jhd2pxNFlkcFdwWjU2X1o1RC01TU9qUXAydFpLa0hjY3NMeEpyNXZJZVBt0gHuAUFVX3lxTE1QdGM1ckVxQkY0ZGRBYXRRUXNTRlRFcjMycXRqZTlIekpUV1B1cGpSWFFFQnI2QWd0WTFkZEQ1VkcxYWhKbERiYmlGWnRybzNlbVdScW9ZZnZMdTVlMkRETW00THZFWkcyZWlIOWF1aE52ZVRwUm1WZjlzWnZGYTI2NmVXTW9xRmRVb29EQ0tFUXo2WFU3Rm54V2dUNDMzeTNtcEp3YkJsZjZjM2lTT3JhU2c2eWMzVjNPZE9ZNDh3d1JWeENBUF94OUk0aFNHMWo1WXl6ZnU5Z2hnVkthT3MtLUw1ZGJmcGZSVmdEWFE?oc=5,"Despite neutral news, technical indicators show significant bearish momentum with price below key moving averages and high selling volume. This warrants close monitoring for potential exit if the downtrend continues, as capital may be better deployed elsewhere.",close< 1458.95 (swing_low - 1.0*ATR),53.48 (1.5×ATR),20DMA
4,SAGILITY,SAGILITY,45.1,neutral,HOLD,Heuristic analysis - AI unavailable,No critical exit signals detected,AI analysis unavailable - manual review recommended,32.2,9,69.66220370767032,https://news.google.com/rss/articles/CBMikwJBVV95cUxQVG14cHNScllXc3Bub1czRkhobjBqSVhnUC01TlRweWd6YmNyZXlsNUx0TkV2X25TOGxCZXI1QUhuWGFtLWZwd2RoS01yWm55YW9USVZjb3I3Z2c3MEo5aTNTM3JqQ3gxX2M3TEFrSmdHbnU4VGhMbEVRYkxraEZPT25UMmdTcHBWQ1UyRjhGb1J3X0MtUkI5QzhxdlF2REg3aWZDVV9IWGZfeVl0M0ZYS0J5MUxKaldVMW51bUVMVldieDRUSlVDeFE2VVlvVHFKX3lSc1Vpa2tmZHpjM0xwTVJWenhMbVRiSHpxZlhQa0VSc1c3R0xzOTJYcTYwLTNaRjM3aFl0Y0FOemFkMERwa1Fya9IBmAJBVV95cUxQVUhTcUJzVXdmYzVyMWFxLWdCbXh3MDRWNWJQa3NDX0NldVU2U3VaSExVTjNSR0MtSV9ZeFhVNmh3WXpWQ2xXQzYwT1dBZ2phVmMxQ1VQZlJoZnN0QnpPWDBOQmdXWVhPR0I3VzlIcEpJWDJEN1dhdGw4RWVjWFBFMXlsWm1xWWZjLVBOS2NmbEhuaDBVVldqY3FucWwtUWVIeFRSSVk2OWRwa1FGcWpGRm9OQTd6dEYyWkJsRndEb2p5U3VJc1I2RTItTzRRRFJ3QlhRVm9XRG5HN19Va0ppUTJodHY4cExQWjVJWE13ZVlWU2N5SUFXdlhXYVh1WThLeG83b0ZjeW92RUQxckx1SlFZQ2FRdVJy?oc=5,Heuristic analysis based on keyword matching. AI provider gemini unavailable.,close< 41.17 (swing_low - 1.0*ATR),3.40 (1.5×ATR),20DMA
5,UPL,UPL,43.3,neutral,HOLD,,,,30.0,3,70.57263669967398,https://news.google.com/rss/articles/CBMixwFBVV95cUxQN1VfSm9HbzZkMHA0bk4xcUlWcVFRNkhyVkIta3JVemFNcnZxU0Zjd3hLRWlyVzl4V3RpUG9kMmI5N0NvamcxY1hFSmZLaHNyY2hPQ1BUT2lVMGlQYWZsQ0I2QXoyVXIyMTUtWXJQVVp0dENMS0RTZFhZQ2d1WTVnYVZfamExWkRNeHdyeDNkTXEycENtZWZ4a3ByMV9NZk82QXhsbzRFcjdpb1ZmaGhvR3B1Wi0yY3RabUVxWnFEWHZtMC1hNWZr0gHAAUFVX3lxTFBZQU1UMkIyaWlNbUVpS2Qtbm40YTc1YXhxVjBIWndITDl0bUx5a2xMZTRPb1FzWnBWOWpFWGhlcmhJQlFuY0FOV3c5Rjk5cWt2dFpkLWlIU1F4VklaYklMRXNWV3BhUzJ0ZG9yVE1YUUxtTmhkV2ppeUUwRlF3dlBPdXp0WDRrQ2d5YUpxdmlwU1E4dWNPNVdyeGU0Z0tpN0NPOWV2VmRnR0R0eF9OSVZBU2dsNkhBSFVRVkFkMG16Tg?oc=5,Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.,close< 655.90 (swing_low - 1.0*ATR),21.07 (1.5×ATR),20DMA
6,ALPA,ALPA,43.3,neutral,HOLD,,,,30.0,2,49.75768362306122,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPWDh2cndOSm5sVlVvX3lqNU91TkNvVnFWYmQ5R3dPdVdCM2R5WHloRzJjWjFrajNoZ1ZfdlFmOGdsR1gydDZfbHR4TFBRRkpCWjVwTXBZR2VxdmNnUUM5d09nR2FXTGJHMmFsMUVaWGNuQmN0RUJaWUxJc1p2S2gtTmgtV0dqZEZ1bVdGMmF3a0t5ZjZNTGFEaG9aczB1VmFNQUtjN2ZubHhDbG5LVVVXZkJMMld2Z1BaMTM3Vk9ERXJzNWl4MU0wNFY2dndPVEFWYVhPVXR4aExXazMyMUJzMHZtUdIB4wFBVV95cUxPWDh2cndOSm5sVlVvX3lqNU91TkNvVnFWYmQ5R3dPdVdCM2R5WHloRzJjWjFrajNoZ1ZfdlFmOGdsR1gydDZfbHR4TFBRRkpCWjVwTXBZR2VxdmNnUUM5d09nR2FXTGJHMmFsMUVaWGNuQmN0RUJaWUxJc1p2S2gtTmgtV0dqZEZ1bVdGMmF3a0t5ZjZNTGFEaG9aczB1VmFNQUtjN2ZubHhDbG5LVVVXZkJMMld2Z1BaMTM3Vk9ERXJzNWl4MU0wNFY2dndPVEFWYVhPVXR4aExXazMyMUJzMHZtUQ?oc=5,Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.,close< 84.45 (swing_low - 1.0*ATR),3.48 (1.5×ATR),20DMA
7,BFUTILITIE,BFUTILITIE,43.3,neutral,HOLD,,,,30.0,1,22.97639012891605,https://news.google.com/rss/articles/CBMigwFBVV95cUxONTEyaC0wS1BrQlF0SnlGYkwwdFBJZk5PSUVsUmJLcTlaRDV0dHNNbjZpbUsxcDdaaDFtOG9BblRZTEpZUVZOdGdOaElCWVZ0RUUzdll0b0hCZ1RGdE5VeWN4X1NwTHIyTU10S1EwS3RmdnRMOHBUdElHbHc0TkwxQ1haTQ?oc=5,Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.,close< 707.76 (swing_low - 1.0*ATR),34.79 (1.5×ATR),20DMA
8,CAPACITE,CAPACITE,43.3,neutral,HOLD,,,,30.0,2,50.401844370710094,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOYzdxUloyRW4teHhSMmVwU0tXd1dId3hYMkpPLXJtNFNNZmlHc1AxNENaLWRJXzN6VDhtTGZnOVpOakt1eDg3RmE4X0wzaVV4NDlLWnZRS1A5c21YdVZwMENsY2tsc1BtNzBkX3BCaThDYnFtam10U0ZUUlFPaVVZbkN6ZUZXREtl?oc=5,Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.,close< 263.61 (swing_low - 1.0*ATR),11.09 (1.5×ATR),20DMA
9,CROMPTON,CROMPTON,43.3,neutral,HOLD,,,,30.0,3,43.015235985560935,https://news.google.com/rss/articles/CBMixgFBVV95cUxOSVpPMlIwZWxGYW9UZ2VVSGx5RVh6MGVscWlnUTd1U0tpVERlQzB3Mm5kXzlsXzhEOVJwOVlqdTkycWVhbFQ2UUZwTjN6NXhKV3hVbE1Cdk83LTNKbDdGWnlUWE5ZM3N6bXlSaG5zb1pIRzlYSUZRa0h6NjA1VTllSFVrOGE4SEhCVl9FMEEydmw4dGY2ZVAtV0dvdVAzM0pZb3VJZWJEaEpTQTRIQWlWbnBzZ2dwRXF0d0ZSR1VFTkNLLW9uNGfSAcsBQVVfeXFMT0ZMa1JhX2N3RUlSQzFvT2lYQ25jdllDN3U2cGI4UjVEUGczZlpXcDU5WEpNR0otenEyT3ZuUHMyelJYbnR3SDVYNEdQVWQ3REZneGdtVFZBMUduRWhxdGpoRlFlMFoxaHJCYm1QVlZPX0pFdVEtcHZwdFBLOVZoYThZci1zMzFmS0daZ0Q3NmJtVGNJU0ZhYmZLbjNVTjJZMGhBZS1WZ2UyQ3BEUXI4LVI4dnZXN0s1Z0hlZjh3NmZzR0JrS1ktUmI3ZVk?oc=5,Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.,close< 274.38 (swing_low - 1.0*ATR),8.58 (1.5×ATR),20DMA
10,EASEMYTRIP,EASEMYTRIP,43.3,neutral,HOLD,,,,30.0,1,44.76191124946924,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNeURLYUpuSFl5VHZBbC02dlFBWFQ5WFMzNGZDWXhhcTloYTF4UU1mV3BtSnR3VDhBLVd0QmpTUWJDSUdMV05OLXRNTFdfUjVPVmNISUJZekRzQXJFblZzX1RnUjZVQUNybzdNZTYyc0xKdk1TRmxfNGU4MVh3V1NyQ1lvQXhoZFlfbEVLYnVEVkJ1ZEVncTZUUGdBQmRRRFVYdmc0ZnU5Ym5faEg4eldIUHZWT1ROS0ZUeER1akxTSEpHN0NzSHduVjk4VUNTVHh4LVE4bkpnMDU4SGpOQVFDX2JzMWZZUXJ2VU9B0gHwAUFVX3lxTE82UGRybnYyeW44Y2NKYy0wNXprMmE5Q1NYZmFsdmxWYXhORXlOTkZLbGdSdTNyNFk4b21OdHZQU3ZrUFlwYlBqeXV2UlpGYkQ0ODZFdWxSTXdkMUtwc0NhWWZzVzI4SWdhcGtQNmRydW54TlZCZW4xaVJMakxVX1haRHd2VWNTWFdTSWdLeEJ4ZW1ybS1rZnk4VnFONnZMMlFmVGVTSC03REg4dUd1UDJORHF0d0VxRTNoMmMzdTZ2MVg2d1dOWF92amNhTEppMWlzQ19RWTE4elAzQzVFTlFURTJiU1FGWmVIUEc5dVVldA?oc=5,Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.,close< 7.70 (swing_low - 1.0*ATR),0.23 (1.5×ATR),20DMA
