rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning,stop,trail,alert
1,INDINFO,INDINFO,93.0,neutral,IMMEDIATE_EXIT,Price 7.9% below 20-day SMA (breakdown); Price 22.6% below 50-day SMA; RSI oversold at 27.8 (potential further downside),Some warning signs present,,30.0,1,100,Technical-only assessment (no recent news),"MONITOR suggested. Tech=100/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex.",close< 0.69 (swing_low - 1.0*ATR),0.06 (1.5×ATR),20DMA
2,VIKRAMAR,VIKRAMAR,80.0,neutral,IMMEDIATE_EXIT,Price 5.5% below 20-day SMA (breakdown); Price 13.5% below 50-day SMA; RSI oversold at 29.1 (potential further downside),Some warning signs present,,30.0,1,85,Technical-only assessment (no recent news),"MONITOR suggested. Tech=85/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex.",close< 73.13 (swing_low - 1.0*ATR),7.61 (1.5×ATR),20DMA
3,BFUTILITIE,BFUTILITIE,75.6,neutral,MONITOR,Price 5.2% below 20-day SMA (breakdown); RSI oversold at 23.0 (potential further downside); Negative 10-day momentum: -6.7%,Some warning signs present,,30.0,1,80,Technical-only assessment (no recent news),"MONITOR suggested. Tech=80/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex.",close< 707.76 (swing_low - 1.0*ATR),34.79 (1.5×ATR),20DMA
4,KEC,KEC,37.0,neutral,HOLD,RSI oversold at 22.8 (potential further downside); Low volume on downtrend (weak support); Close below lower Bollinger band,No urgent exit signals,,30.0,1,35,Technical-only assessment (no recent news),"HOLD suggested. Tech=35/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex.",close< 801.91 (swing_low - 1.0*ATR),23.76 (1.5×ATR),20DMA
5,DBCORP,DBCORP,35.4,neutral,HOLD,Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish); High short-term volatility (ATR 4.5% of price),No urgent exit signals,,30.0,1,33,Technical-only assessment (no recent news),"HOLD suggested. Tech=33/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex.",close< 227.37 (swing_low - 1.0*ATR),18.05 (1.5×ATR),20DMA
6,DEEPAKNTR,DEEPAKNTR,30.6,neutral,HOLD,RSI oversold at 25.3 (potential further downside); Unusual volume spike on down move; Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,27,Technical-only assessment (no recent news),"HOLD suggested. Tech=27/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex.",close< 1703.29 (swing_low - 1.0*ATR),37.67 (1.5×ATR),20DMA
7,CROMPTON,CROMPTON,30.6,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,27,Technical-only assessment (no recent news),"HOLD suggested. Tech=27/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex.",close< 274.38 (swing_low - 1.0*ATR),8.58 (1.5×ATR),20DMA
8,EASEMYTRIP,EASEMYTRIP,30.6,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,27,Technical-only assessment (no recent news),"HOLD suggested. Tech=27/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex.",close< 7.70 (swing_low - 1.0*ATR),0.23 (1.5×ATR),20DMA
9,GATECHDVR,GATECHDVR,26.6,neutral,HOLD,Unusual volume spike on down move; High short-term volatility (ATR 5.6% of price); Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,22,Technical-only assessment (no recent news),"HOLD suggested. Tech=22/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex.",close< 0.48 (swing_low - 1.0*ATR),0.04 (1.5×ATR),20DMA
10,ALPA,ALPA,25.0,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,,30.0,1,20,Technical-only assessment (no recent news),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex.",close< 84.45 (swing_low - 1.0*ATR),3.48 (1.5×ATR),20DMA
