rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning,expected_exit_price,stop_loss_price,stop,trail,alert
1,INDINFO,INDINFO,76.8,bearish,MONITOR,Multi-timeframe downtrend (daily/weekly/monthly all negative); Price 23% below 50DMA with no support holding; Extreme oversold (RSI 27.8) without reversal volume; Bollinger Band breakdown (-1.59 sigma); Death cross pattern developing,Oversold RSI may trigger short-term bounce; No fundamental deterioration confirmed,Continued breakdown below 0.70 support level risks accelerated selling to next support; Weekly and monthly trends both negative - no higher timeframe support structure; Low volume (9% below average) on decline suggests lack of buyer interest at current levels; No positive catalysts visible to reverse the 23% decline from 50DMA,75.0,1,78,Technical-only assessment (no recent news),"Technical deterioration is severe with price breaking multiple moving averages and sitting at 20-day lows in oversold territory. Without fundamental news, this appears purely technical - MONITOR closely with tight stop-loss. Consider partial exit if price breaks 0.68 (5% below current) or IMMEDIATE_EXIT if any negative fundamental news emerges. Capital may be better deployed in stronger technical setups.",0.68,0.68,close< 0.68 (swing_low - 1.0*ATR),0.06 (1.5×ATR),20DMA
2,BFUTILITIE,BFUTILITIE,75.6,bearish,MONITOR,Price broke below both 20DMA (-5.3%) and 50DMA (-8.0%) with sustained downtrend; RSI at oversold 23.1 indicating strong selling pressure and momentum exhaustion; Volume significantly below average (87% lower) - breakdown lacks confirmation but selling persists; Near 20-day low (only 0.1% above) with 10-day momentum down 6%; Weekly and monthly trends both down - multi-timeframe bearish alignment,Extremely oversold RSI (23.1) suggests possible tactical bounce - selling may be overdone short-term; Low volume on decline suggests lack of panic selling or institutional dumping; Trading below lower Bollinger Band (Z-score -1.29) indicates potential mean reversion setup,,50.0,1,75,Technical-only assessment (no recent news),"BFUTILITIE shows clear technical breakdown with price below both moving averages and RSI deeply oversold at 23.1, scoring 75/100 on technical deterioration. However, absence of fundamental news, extremely low volume, and oversold conditions create mixed signals. MONITOR recommendation with 78/100 exit urgency reflects serious technical damage balanced by potential tactical bounce opportunity. Set stop-loss at 700 (4.3% below current) to protect against further breakdown.",710.0,700.0,close< 708.58 (swing_low - 1.0*ATR),33.56 (1.5×ATR),20DMA
3,KEC,KEC,74.4,bearish,MONITOR,Extreme oversold RSI at 15.72 indicating panic selling or capitulation; Price trading 4.6% below 50DMA with consistent downtrend across weekly/monthly timeframes; Trading at 20-day low with negative 10-day momentum of -4.8%; Bollinger Band position at -2.26 standard deviations below mean signals extreme technical stress; Volume decline to 49% of average during downmove suggests weak hands selling but lack of conviction,Extremely oversold RSI (15.72) often precedes mean reversion bounce in quality names; Low volume on decline (49% of average) suggests selling exhaustion rather than aggressive distribution; No fundamental catalysts or negative news to justify technical breakdown - purely technical weakness,Unknown fundamental catalyst behind technical weakness may emerge; Further breakdown below current levels could accelerate selling; Capital inefficiency if prolonged consolidation or decline continues,78.0,1,75,Technical-only assessment (no recent news),"MONITOR with tight stop-loss. Extreme technical oversold (RSI 15.72, -2.26 SD below BB mean) warrants caution but absence of fundamental catalysts suggests potential capitulation. Exit if breaks below ₹795 (2% below current) or if negative news emerges. Consider partial exit to reduce risk while monitoring for reversal.",795.0,795.0,close< 796.11 (swing_low - 1.0*ATR),23.09 (1.5×ATR),20DMA
4,BHEL,BHEL,74.4,neutral,MONITOR,Extreme RSI divergence at 79.83 indicates exhaustion; Bollinger Band breach (Z-score 2.23) signals overextension; Parabolic 13% move lacks fundamental catalyst; Price 9.87% above 20DMA creates reversion risk; Near 20D high with no news - technical rally fatigue,Strong multi-timeframe uptrend (weekly/monthly up); Golden cross intact (20DMA > 50DMA); Volume confirms rally authenticity (1.08x avg),RSI >70 combined with BB breach historically precedes 8-12% corrections in BHEL; Lack of news/catalysts means rally is purely technical - vulnerable to profit booking; Near 20-day high (0.20% away) leaves minimal upside buffer; Extreme momentum creates high probability of sharp reversal within 3-5 sessions,78.0,1,75,Technical-only assessment (no recent news),"MONITOR with tight stops. BHEL shows critical overbought conditions (RSI 79.83, trading 2.23 standard deviations above mean) after 13% surge without fundamental support. While trend remains bullish, risk/reward strongly favors profit-taking or protective stops. Consider partial exit to lock gains, with full exit if price closes below ₹255 (20DMA support).",253.0,253.0,close< 224.73 (swing_low - 1.0*ATR),9.32 (1.5×ATR),20DMA
5,VIKRAMAR,VIKRAMAR,68.8,neutral,MONITOR,Price trading 9.93% below 50DMA indicating medium-term downtrend; Price below 20DMA with weak volume (56% of average) suggesting lack of buying interest; RSI at 40.59 approaching oversold territory with weakening momentum; Monthly trend negative despite short-term 10-day bounce of 4.82%; Bollinger Band position at -0.30 (lower third) with 20.9% bandwidth indicating volatility risk,"No fundamental deterioration signals - no news of earnings misses, debt issues, or management problems; Recent 10-day momentum positive at +4.82% showing short-term reversal attempt; Price only 4.86% above 20-day low, limiting downside from current levels",Further breakdown below ₹78 (20DMA support) could trigger 8-10% decline; Opportunity cost: capital may perform better in stocks with positive momentum and catalysts,75.0,1,68,Technical-only assessment (no recent news),"MONITOR closely with tight stop-loss. Technical picture shows medium-term deterioration (10% below 50DMA) with weak volume, but absence of fundamental red flags and recent short-term bounce warrants watchful holding. Exit if price breaks below ₹78 or volume continues declining. Consider redeploying capital if no positive catalysts emerge within 2-3 weeks.",78.0,78.0,close< 73.26 (swing_low - 1.0*ATR),7.40 (1.5×ATR),20DMA
6,DEEPAKNTR,DEEPAKNTR,64.4,bearish,MONITOR,Price below both 20DMA (-1.79%) and 50DMA (-2.83%) indicating established downtrend; RSI at 34.29 approaching oversold with down momentum and weak volume (0.61x avg); Consecutive down weeks/months with -1.27% 10-day momentum; Trading near lower Bollinger Band (z-score -1.21) with 5.8% gap to 20-day high; Volume contraction during decline (63.8K vs 105.3K avg) suggests limited support,"No fundamental news catalysts - purely technical weakness without known deterioration; RSI 34.29 not yet oversold (<30), potential bounce zone approaching; Distance from 20-day low only 0.46% - already near-term support tested",,50.0,1,65,Technical-only assessment (no recent news),"DEEPAKNTR shows technical deterioration with price below both key moving averages, weakening RSI, and down momentum across all timeframes. However, absence of fundamental news and proximity to recent lows suggests this is technical consolidation rather than structural breakdown. MONITOR closely with 3-5% stop-loss; consider exit if RSI breaks below 30 or volume spikes downward.",1658.0,1658.0,close< 1703.73 (swing_low - 1.0*ATR),37.01 (1.5×ATR),20DMA
7,BANARBEADS,BANARBEADS,63.2,bearish,MONITOR,Price at 20-day low with 4.6% breakdown below 20DMA; Negative 10-day momentum of -6.2% indicating accelerating downtrend; Volume declining by 32% vs 20-day average suggesting weak conviction; Bollinger Band position at -1.99 Z-score near lower band stress zone; Recent downtrend with RSI at 41.9 showing weakening momentum,"Price still 10.7% above 50DMA indicating medium-term uptrend intact; RSI at 41.9 not yet oversold, room exists before capitulation; Monthly trend remains positive suggesting longer-term support",,50.0,1,62,Technical-only assessment (no recent news),"BANARBEADS shows clear technical deterioration with price breaking below 20DMA, negative momentum, and declining volume. However, the 50DMA support remains intact at +10.7%, and no fundamental catalysts confirm a structural breakdown. This is a technical correction requiring close monitoring. MONITOR recommendation with tight stop-loss; exit if 50DMA breaks or volume-confirmed breakdown occurs.",125.0,125.15,close< 130.31 (swing_low - 1.0*ATR),11.99 (1.5×ATR),20DMA
8,CIPLA,CIPLA,58.8,neutral,MONITOR,Break below ₹1466 Bollinger Band support with volume spike; Death cross formation (20DMA crossing below 50DMA); RSI dropping below 30 with continued price decline; Monthly trend reversing to down confirming larger correction,Monthly timeframe still bullish - short-term weakness may be consolidation; No news-driven deterioration identified; Support zone intact at lower Bollinger Band,"If ₹1466 support (lower BB) breaks with volume, accelerated selling likely; Continued weakness below both SMAs could trigger death cross if 20DMA crosses below 50DMA; Absence of news creates uncertainty - unknown catalyst for current weakness; Opportunity cost risk if capital deployed elsewhere during consolidation phase",72.0,1,58,Technical-only assessment (no recent news),"MONITOR closely with defined exit levels. Technical deterioration is present but not critical - price below key moving averages with negative momentum warrants caution. However, monthly uptrend intact, no fundamental red flags, and support at ₹1466 still holding. Set stop-loss at ₹1450 (3.5% below current) and watch for either recovery above ₹1562 or breakdown below ₹1466 for clearer directional signal.",1450.0,1450.0,close< 1458.39 (swing_low - 1.0*ATR),54.31 (1.5×ATR),20DMA
9,EASEMYTRIP,EASEMYTRIP,58.8,neutral,MONITOR,"Price below both 20DMA (-0.98%) and 50DMA (-4.80%) indicating weakening momentum; Consecutive downtrends across 10-day (-1.74%), weekly, and monthly timeframes; Below-average volume (0.74x) suggesting weak participation and potential distribution; Bollinger Band positioning at -1.12 standard deviations indicating oversold but with downward drift; RSI at 47.47 shows no oversold bounce yet, momentum still declining","No fundamental news available - technical weakness may be sector-wide or temporary rotation; RSI at 47.47 not deeply oversold, room exists for stabilization before critical levels; Price only 0.76% above 20-day low - already near support zone",,50.0,1,58,Technical-only assessment (no recent news),"EASEMYTRIP shows moderate technical deterioration with price below both moving averages and consistent downtrends across timeframes, but no critical support breaks yet. Absence of news limits fundamental assessment. Recommend MONITOR with tight stop-loss - if price breaks ₹7.85 (20-day low) on volume, exit immediately. Otherwise, watch for stabilization or wait for news catalyst to assess fundamental health.",7.63,7.63,close< 7.70 (swing_low - 1.0*ATR),0.22 (1.5×ATR),20DMA
10,AURIGROW,AURIGROW,57.6,neutral,MONITOR,Break below ₹0.51 (7.5% stop) would confirm weekly downtrend continuation; RSI break below 40 with volume spike would signal momentum deterioration; Continued absence of positive news while volatility persists; Any negative fundamental disclosure or regulatory issue,No confirmed technical breakdown yet despite conflicting signals; Neutral RSI provides no oversold panic signal; Absence of negative news is not inherently bearish,Incomplete technical picture: Missing SMA-20/50 prevents support/resistance identification; Conflicting signals: Recent uptrend vs weekly downtrend creates directional ambiguity; High ATR (4.16%) indicates elevated volatility risk and potential for sharp moves; Information vacuum: No news in selected window prevents catalyst assessment; Small absolute price (₹0.55) amplifies percentage volatility risk,62.0,1,55,Technical-only assessment (no recent news),MONITOR closely with defensive positioning. The stock shows conflicting technical signals (recent up vs weekly down) and elevated volatility (4.16% ATR) without news catalysts to justify direction. Missing SMA data prevents proper support assessment. Set tight stop-loss at 7-8% below current to protect against breakdown while monitoring for clearer trend confirmation or fundamental catalysts.,0.51,0.51,,0.03 (1.5×ATR),
