rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning,expected_exit_price,stop_loss_price,stop,trail,alert
1,BFUTILITIE,BFUTILITIE,93.4,neutral,IMMEDIATE_EXIT,AI service error; Price 9.4% below 20-day SMA (breakdown); Price 13.0% below 50-day SMA,Some warning signs present,AI service error,40.0,1,100,Technical-only assessment (no recent news),"MONITOR suggested. Tech=100/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 659.71 (swing_low - 1.0*ATR),close< 659.71 (swing_low - 1.0*ATR),35.38 (1.5×ATR),20DMA
2,INDINFO,INDINFO,93.4,neutral,IMMEDIATE_EXIT,AI service error; Price 8.1% below 20-day SMA (breakdown); Price 23.3% below 50-day SMA,Some warning signs present,AI service error,40.0,1,100,Technical-only assessment (no recent news),"MONITOR suggested. Tech=100/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 0.65 (swing_low - 1.0*ATR),close< 0.65 (swing_low - 1.0*ATR),0.06 (1.5×ATR),20DMA
3,KEC,KEC,73.4,neutral,MONITOR,AI service error; Price 8.0% below 20-day SMA (breakdown); Price 9.7% below 50-day SMA,Some warning signs present,AI service error,40.0,1,77,Technical-only assessment (no recent news),"MONITOR suggested. Tech=77/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 749.79 (swing_low - 1.0*ATR),close< 749.79 (swing_low - 1.0*ATR),21.55 (1.5×ATR),20DMA
4,AURIGROW,AURIGROW,61.0,neutral,MONITOR,Price 6.6% below 20-day SMA (breakdown); Negative 10-day momentum: -8.8%; Unusual volume spike on down move; Close below lower Bollinger band; High short-term volatility (ATR 4.7% of price),Some warning signs present,,50.0,1,62,Technical-only assessment (no recent news),Tech-driven assessment: score=57; signals: Price 6.6% below 20-day SMA (breakdown); Negative 10-day momentum: -8.8%,,close< 0.49 (swing_low - 1.0*ATR),close< 0.49 (swing_low - 1.0*ATR),0.04 (1.5×ATR),20DMA
5,ALPA,ALPA,60.4,neutral,MONITOR,AI service error; Negative 10-day momentum: -5.1%; Unusual volume spike on down move,Some warning signs present,AI service error,40.0,1,62,Technical-only assessment (no recent news),"MONITOR suggested. Tech=62/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 82.35 (swing_low - 1.0*ATR),close< 82.35 (swing_low - 1.0*ATR),3.49 (1.5×ATR),20DMA
6,DATAPATTNS,DATAPATTNS,54.2,neutral,MONITOR,AI service error; Price 6.3% below 20-day SMA (breakdown); Negative 10-day momentum: -8.0%,Some warning signs present,AI service error,40.0,1,55,Technical-only assessment (no recent news),"MONITOR suggested. Tech=55/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 2496.99 (swing_low - 1.0*ATR),close< 2496.99 (swing_low - 1.0*ATR),112.82 (1.5×ATR),20DMA
7,CIPLA,CIPLA,50.0,neutral,HOLD,Heuristic analysis - AI unavailable,No critical exit signals detected,AI analysis unavailable - manual review recommended,40.0,1,37.94373152694256,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/cipla-stock-price-live-updates-07-nov-2025/liveblog/125148029.cms,Heuristic analysis based on keyword matching. AI provider gemini unavailable.,,close< 1467.34 (swing_low - 1.0*ATR),close< 1467.34 (swing_low - 1.0*ATR),50.95 (1.5×ATR),20DMA
8,UPL,UPL,50.0,neutral,HOLD,Heuristic analysis - AI unavailable,No critical exit signals detected,AI analysis unavailable - manual review recommended,40.0,1,84.06057646780303,https://www.thehindubusinessline.com/economy/agri-business/upl-launches-campaign-to-celebrate-farmers-as-climate-heroes/article70251475.ece,Heuristic analysis based on keyword matching. AI provider gemini unavailable.,,close< 655.17 (swing_low - 1.0*ATR),close< 655.17 (swing_low - 1.0*ATR),22.17 (1.5×ATR),20DMA
9,CROMPTON,CROMPTON,50.0,neutral,HOLD,Heuristic analysis - AI unavailable,No critical exit signals detected,AI analysis unavailable - manual review recommended,40.0,1,28.213718741147858,https://economictimes.indiatimes.com/markets/stocks/news/crompton-greaves-shares-in-focus-as-q2-net-profit-tumbles-41-to-rs-75-crore-what-should-investors-do/articleshow/125148985.cms,Heuristic analysis based on keyword matching. AI provider gemini unavailable.,,close< 269.41 (swing_low - 1.0*ATR),close< 269.41 (swing_low - 1.0*ATR),7.71 (1.5×ATR),20DMA
10,NBCC,NBCC,50.0,neutral,HOLD,Heuristic analysis - AI unavailable,No critical exit signals detected,AI analysis unavailable - manual review recommended,40.0,1,53.46578275730005,https://www.thehindubusinessline.com/markets/these-8-stocks-including-psus-nbcc-rvnl-will-be-in-focus/article70251087.ece,Heuristic analysis based on keyword matching. AI provider gemini unavailable.,,close< 107.13 (swing_low - 1.0*ATR),close< 107.13 (swing_low - 1.0*ATR),4.07 (1.5×ATR),20DMA
