ticker,close,alpha,final_pick,marketcap_cr,existing_rank,momentum_20,momentum_60,momentum_3,rvol,rvol_norm,pbz,pbz_norm,squeeze,breakout,squeeze_bo_score,bb_width,trend_sma50,trend_sma200,rsi14,catalyst_type,catalyst_count,deal_value_cr,sentiment,certainty,news_score,mom20_norm,mom60_norm,atr20,stop_loss,tp1,tp2,trail_stop,impact_pct,gate_flags,headline_text,headline_count
MARUTI,2294.0444735693204,78.55521871253161,1,50000.0,6,99.63333483080743,99.96099825232926,70.22484127254396,1.7279852420538153,57.599508068460516,71.72677181821521,71.72677181821521,0,1,50,1121.0926629132227,1,0,91.85689640375851,product,2,0.0,positive,92,100.0,99.63333483080743,99.96099825232926,82.21911158893627,2179.3422498908544,2417.373140952725,2540.701808336129,2088.49669459698,5.376036463299972,alpha:True|rvol:True|trend:True|volatility:True|all:True,Automobile companies are also witnessing a sparkling Diwali season. Maruti Suzuk,6
CURRENT,17758.727296394092,76.52339942615626,0,50000.0,10,99.45254503304363,99.9999999957835,80.25767864295473,0.7661452990925015,25.538176636416715,76.45864725739708,76.45864725739708,0,1,50,6811.351879111557,1,0,84.96929859556222,earnings,2,0.0,negative,100,100.0,99.45254503304363,99.9999999957835,623.6769790425009,16870.790931574385,18694.242764957842,19629.758233521596,16199.53484878784,5.267919558366698,alpha:True|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - CURRENT,10
SOBHA,1181.6701548780347,75.03518890245405,0,50000.0,7,89.82939497542071,93.597024869613,68.22269787066271,1.2070557901902261,40.23519300634087,76.1621362644544,76.1621362644544,0,1,50,203.0696004280244,1,0,66.61384559782941,product,6,22000.0,neutral,100,100.0,89.82939497542071,93.597024869613,43.54906122785561,1122.586647134133,1246.993746719818,1312.3173385616014,1072.7975018083957,5.528073259032737,alpha:True|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - SOBHA,10
HINDZINC,20082.65772318981,74.23042417242664,1,50000.0,25,99.4200124258645,99.99999999176809,69.8805484795371,2.354909192653243,78.49697308844142,74.22313442772865,74.22313442772865,0,1,50,7850.890442048534,1,0,89.88000415687017,earnings,0,0.0,neutral,40,60.0,99.4200124258645,99.99999999176809,679.5924716390717,19078.52483703032,21102.04643064842,22121.435138107026,18383.676544092134,5.075965151173703,alpha:True|rvol:True|trend:True|volatility:True|all:True,Full Article Fetch Test - HINDZINC,2
RELIANCE,2868.459020072849,74.01693764530174,0,50000.0,8,99.1623849578761,97.94686570495377,73.57459355130428,0.940628103800811,31.354270126693702,72.44612453562053,72.44612453562053,0,0,20,1281.135190724537,1,0,96.14476483326484,contract,2,0.0,neutral,100,100.0,99.1623849578761,97.94686570495377,97.68923003412328,2725.0360690692064,3014.992865124034,3161.526710175219,2624.2359449875407,5.10845175147259,alpha:True|rvol:False|trend:True|volatility:False|all:False,"""The truncated trading week will be event-heavy, with several key triggers lined",10
RADICO,13751.190219599259,73.3569613130736,1,50000.0,2,99.87233933166647,99.99999999999882,89.96246871205996,1.8705749610689852,62.352498702299506,78.50890957976011,78.50890957976011,0,1,50,6430.030468373607,1,0,91.92024741062384,earnings,0,0.0,neutral,40,60.0,99.87233933166647,99.99999999999882,510.7021832212222,13063.630708619296,14517.243494431092,15283.296769262924,12474.434761546203,5.5708143266027585,alpha:True|rvol:True|trend:True|volatility:True|all:True,Full Article Fetch Test - RADICO,2
ZENTEC,2894.908168647165,73.10217776188969,1,50000.0,23,97.602094338395,99.91060395358276,81.78811827134984,1.9340811101987654,64.46937033995884,79.11503553517346,79.11503553517346,0,1,50,867.985040650484,1,0,86.37142906301506,earnings,0,0.0,neutral,40,60.0,97.602094338395,99.91060395358276,101.37927458842223,2750.1627602148064,3046.9770805297985,3199.0459924124316,2641.4599821761094,5.252978782870949,alpha:True|rvol:True|trend:True|volatility:True|all:True,Full Article Fetch Test - ZENTEC,2
BFSI,2123.5554523703368,73.06931924568482,0,50000.0,11,97.40587660133203,71.78692144526207,61.23567745088941,0.9742119046463011,32.473730154876705,73.39001240422685,73.39001240422685,0,1,50,679.5823845669099,1,0,79.9239719892297,earnings,5,0.0,negative,100,100.0,97.40587660133203,71.78692144526207,82.44592468299015,2017.3776797518199,2247.224339394822,2370.893226419307,1917.4406406628614,5.82367118722728,alpha:True|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - BFSI,6
CONNPLEX,11626.020027869434,71.86750170924041,0,50000.0,5,99.61709332218385,99.999999978623,74.54452680813776,1.4838597465187402,49.461991550624674,74.24622562787354,74.24622562787354,0,1,50,5174.596625377325,1,0,92.83953882969243,earnings,0,0.0,neutral,40,60.0,99.61709332218385,99.999999978623,389.0776225155162,11044.719026475961,12209.636461642709,12793.252895415982,10653.325971580643,5.019915950379004,alpha:True|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - CONNPLEX,2
SGL,13136.687144284979,70.36114128552569,0,50000.0,19,98.70751215079005,99.99999600427103,55.50059915497777,1.4066373548016269,46.887911826720895,61.67508962451292,61.67508962451292,0,0,20,6538.8617881245955,1,0,80.12990061667558,earnings,0,0.0,neutral,50,75.0,98.70751215079005,99.99999600427103,505.39807013619213,12479.85278707073,13894.784249489267,14652.881354693556,11873.191968944499,5.770839305814575,alpha:True|rvol:False|trend:True|volatility:False|all:False,Full Article Fetch Test - SGL,4
SGL,13136.687144284979,70.36114128552569,0,50000.0,20,98.70751215079005,99.99999600427103,55.50059915497777,1.4066373548016269,46.887911826720895,61.67508962451292,61.67508962451292,0,0,20,6538.8617881245955,1,0,80.12990061667558,earnings,0,0.0,neutral,50,75.0,98.70751215079005,99.99999600427103,505.39807013619213,12479.85278707073,13894.784249489267,14652.881354693556,11873.191968944499,5.770839305814575,alpha:True|rvol:False|trend:True|volatility:False|all:False,Full Article Fetch Test - SGL,4
ETERNAL,2209.174496977516,69.29592328479512,0,50000.0,17,94.06979382219367,78.52562582236106,63.95089065052305,0.732895349964225,24.4298449988075,73.93000861786875,73.93000861786875,0,0,20,590.7269914979834,1,0,87.94728289346251,contract,4,64.17,negative,100,96.0,94.06979382219367,78.52562582236106,68.82658335647153,2105.9346219428085,2312.4143720122233,2415.6542470469303,2037.108038586337,4.673233154554119,alpha:False|rvol:False|trend:True|volatility:False|all:False,Full Article Fetch Test - ETERNAL,10
V2RETAIL,1697.7222179764155,67.50548582344905,0,50000.0,1,99.85594093186722,75.73676909066805,78.1412245288102,1.738377528384898,57.94591761282993,73.45425298107975,73.45425298107975,0,0,20,874.9237569244979,1,0,87.3900331282092,earnings,0,0.0,neutral,43,64.5,99.85594093186722,75.73676909066805,66.18715735443534,1612.8361070775948,1797.0029540080686,1896.2836900397215,1532.254324590327,5.847878703619125,alpha:False|rvol:True|trend:True|volatility:False|all:False,Full Article Fetch Test - V2RETAIL,2
DIXON,7753.062672393233,67.38733163454383,0,50000.0,16,86.1220823224792,99.9999678087042,57.03210542625226,0.5790050092353947,19.300166974513154,57.76177995381062,57.76177995381062,0,0,0,1544.7817393407713,1,0,56.176536117123995,earnings,7,746.0,positive,100,100.0,86.1220823224792,99.9999678087042,286.48045564111885,7365.409538773571,8182.783355854911,8612.50403931659,7036.861533290436,5.542592671046099,alpha:False|rvol:False|trend:True|volatility:False|all:False,"Title   : Dixon Technologies shares fall 3% after Q2 results. Should you buy, se",10
DIXON,7753.062672393233,67.38733163454383,0,50000.0,15,86.1220823224792,99.9999678087042,57.03210542625226,0.5790050092353947,19.300166974513154,57.76177995381062,57.76177995381062,0,0,0,1544.7817393407713,1,0,56.176536117123995,earnings,7,746.0,positive,100,100.0,86.1220823224792,99.9999678087042,286.48045564111885,7365.409538773571,8182.783355854911,8612.50403931659,7036.861533290436,5.542592671046099,alpha:False|rvol:False|trend:True|volatility:False|all:False,"Title   : Dixon Technologies shares fall 3% after Q2 results. Should you buy, se",10
TCS,944.8910676211757,61.32010993617828,0,50000.0,9,59.140549518716185,90.7992013248739,59.698981136647554,0.0972308689263179,3.2410289642105967,72.1459496324569,72.1459496324569,0,0,20,203.91279214651718,1,0,67.21273203486277,earnings,7,0.0,neutral,100,100.0,59.14054951871619,90.7992013248739,38.29274199614625,897.6465142401169,1002.3301806153951,1059.7692936096144,849.1592126308101,6.078913745986197,alpha:False|rvol:False|trend:True|volatility:False|all:False,"As economic uncertainty clouds private sector spending across key markets, India",10
DALBHARAT,1028.345714270135,57.28733368730436,0,50000.0,24,49.69504100666399,90.27138907446285,60.588416091752606,1.0509887775141633,35.03295925047211,60.048563053021,60.048563053021,1,0,70,105.97886073396023,0,0,53.225211684595216,earnings,0,0.0,neutral,40,60.0,49.69504100666399,90.27138907446285,37.29107312351914,976.9284285566282,1084.2823239554136,1140.2189336406923,935.1180314613371,5.4394751598667845,alpha:False|rvol:False|trend:False|volatility:True|all:False,Full Article Fetch Test - DALBHARAT,2
INTERNET,731.5787673755971,47.32615821141279,0,50000.0,12,37.00011828392986,92.20001498622838,29.351297924989364,2.3253871801346104,77.51290600448701,21.261023018535745,21.261023018535745,0,-1,0,150.83244600677403,0,0,22.525543570880416,earnings,0,0.0,neutral,40,60.0,37.00011828392986,92.20001498622838,29.949501600843643,694.9998290068172,776.5030197768625,821.427272178128,656.705013373488,6.140726659198005,alpha:False|rvol:True|trend:False|volatility:False|all:False,Full Article Fetch Test - INTERNET,2
CCCL,1192.8948989354315,38.62163734312895,0,50000.0,4,35.92401741271239,24.66239352189803,38.506532479661054,2.72554721350921,90.85157378364033,27.324175921353266,27.324175921353266,0,0,0,173.86110608829813,0,0,39.20883187401315,earnings,0,0.0,neutral,40,60.0,35.92401741271239,24.66239352189803,50.53185275608017,1133.2501539886598,1268.6926780695517,1344.490457203672,1066.565267045231,6.354103718757119,alpha:False|rvol:True|trend:False|volatility:False|all:False,Full Article Fetch Test - CCCL,2
