ticker,close,alpha,final_pick,marketcap_cr,existing_rank,momentum_20,momentum_60,momentum_3,rvol,rvol_norm,pbz,pbz_norm,squeeze,breakout,squeeze_bo_score,bb_width,trend_sma50,trend_sma200,rsi14,catalyst_type,catalyst_count,deal_value_cr,sentiment,certainty,news_score,mom20_norm,mom60_norm,atr20,stop_loss,tp1,tp2,trail_stop,impact_pct,gate_flags,headline_text,headline_count
ETERNAL,20795.736009496344,76.77736626609493,0,50000.0,17,97.98970193012232,99.99999974325844,81.12833886086119,1.0975970268457438,36.58656756152479,80.43751974635215,80.43751974635215,0,1,50,6987.107439414969,1,0,92.99037395075452,contract,4,64.17,negative,100,96.0,97.98970193012232,99.99999974325844,731.8366345563803,19755.949209021524,21893.490961330914,22991.245913165483,18966.144423105394,5.278750179042864,alpha:True|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - ETERNAL,10
CURRENT,13369.493885992426,74.77305807866043,0,50000.0,10,97.74616719318371,99.99999990225106,58.47628978224579,1.2864637376318642,42.8821245877288,70.80691566944316,70.80691566944316,0,0,20,4697.908416980066,1,0,83.49474221385393,ipo,4,0.0,neutral,100,100.0,97.74616719318371,99.99999990225106,462.6924559687178,12701.019191692803,14063.532569945502,14757.571253898579,12212.762746070632,5.1912113492960215,alpha:True|rvol:False|trend:True|volatility:False|all:False,Full Article Fetch Test - CURRENT,10
BFSI,2289.1211908506007,74.42286766650625,0,50000.0,11,90.44886833000601,99.85621231891614,61.162699353332776,0.724325292066636,24.1441764022212,73.61467006398226,73.61467006398226,0,1,50,454.56116448726243,1,0,76.10763324660766,product,2,0.0,positive,100,100.0,90.44886833000601,99.85621231891614,74.90545151254848,2176.763013581778,2401.4793681194233,2513.8375453882463,2101.8575620692295,4.908354250439319,alpha:True|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - BFSI,10
TCS,10363.40172398925,74.29560588382198,0,50000.0,9,96.68035036928029,99.99999997446696,67.76206560554789,0.13839714821655041,4.613238273885014,75.76597645468759,75.76597645468759,0,1,50,2586.5891052969264,1,0,66.19115545459434,ipo,9,0.0,negative,100,100.0,96.68035036928029,99.99999997446696,373.5283675076702,9845.231637789786,10923.694275250755,11483.98682651226,9429.580805220074,5.406454040708833,alpha:True|rvol:False|trend:True|volatility:True|all:False,Title   : TCS Share Price Live Updates: TCS Current Price Update,10
V2RETAIL,2707.03724358051,70.56441005775511,0,50000.0,1,99.55241290704328,94.88966064351246,68.46273142267844,1.0380517685265984,34.60172561755328,72.83408984394939,72.83408984394939,0,1,50,1232.0967225660524,1,0,96.84607192715667,earnings,0,0.0,neutral,43,64.5,99.55241290704328,94.88966064351246,85.88801607370725,2578.2052194699495,2835.869267691071,2964.701291801632,2492.317203396242,4.7591522582880605,alpha:True|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - V2RETAIL,2
SOBHA,20860.880022301702,70.25516992400888,0,50000.0,7,99.74737742604785,99.99999936216784,89.96156485026286,0.8364260573491259,27.880868578304195,76.87684700291781,76.87684700291781,0,1,50,8712.726343084618,1,0,89.50441657931125,earnings,0,0.0,neutral,40,60.0,99.74737742604785,99.99999936216784,752.6503659741711,19817.836021186617,21989.85557126296,23118.831120224215,18979.254107366276,5.411926763177326,alpha:True|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - SOBHA,2
RELIANCE,11300.813976151007,69.95304119644518,0,50000.0,8,90.21423136264312,99.9991562779243,47.91584539871898,0.3198279166977425,10.660930556591417,64.5071539417493,64.5071539417493,0,0,20,2740.68802651079,1,0,73.81690491378717,earnings,5,67459.0,positive,100,100.0,90.21423136264312,99.9991562779243,367.80665489324275,10749.103993811143,11852.52395849087,12404.233940830734,10381.297338917899,4.882037555030822,alpha:False|rvol:False|trend:True|volatility:False|all:False,"""The market's strength was underpinned by upbeat quarterly results from heavywei",10
SGL,2104.596966471604,69.67275916224264,0,50000.0,19,95.27973838712566,90.1166600333476,74.70029735664846,0.3610922390036475,12.03640796678825,82.13298404543616,82.13298404543616,0,1,50,569.6537845642106,1,0,78.27637109297147,earnings,0,0.0,neutral,50,75.0,95.27973838712566,90.1166600333476,77.68882948203186,1999.3671181480238,2221.130210694652,2337.6634549176997,1910.3748927665242,5.537081259715869,alpha:False|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - SGL,4
SGL,2104.596966471604,69.67275916224264,0,50000.0,20,95.27973838712566,90.1166600333476,74.70029735664846,0.3610922390036475,12.03640796678825,82.13298404543616,82.13298404543616,0,1,50,569.6537845642106,1,0,78.27637109297147,earnings,0,0.0,neutral,50,75.0,95.27973838712566,90.1166600333476,77.68882948203186,1999.3671181480238,2221.130210694652,2337.6634549176997,1910.3748927665242,5.537081259715869,alpha:False|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - SGL,4
DALBHARAT,1296.0325025055724,68.51731362936394,0,50000.0,24,94.98567343729438,99.30057255628208,62.372031343048974,1.9111393206470426,63.70464402156809,64.57188249578627,64.57188249578627,0,0,20,292.35402664979983,1,0,61.00616445705827,earnings,0,0.0,neutral,40,60.0,94.98567343729438,99.30057255628208,51.170173713040974,1231.2308773802938,1372.7877630751339,1449.5430236446953,1168.10706822297,5.922325282828422,alpha:False|rvol:True|trend:True|volatility:False|all:False,Full Article Fetch Test - DALBHARAT,2
