ticker,recommendation,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,urgency_score,primary_reasons,summary
KEC,HOLD,44,30,20,LOW,45,50,45,"RSI oversold at 22.8 (potential further downside), Low volume on downtrend (weak support)","HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
PETRONET,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
DEEPAKNTR,HOLD,40,30,10,NONE,45,50,45,RSI oversold at 25.3 (potential further downside),"HOLD suggested. Tech=10/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
AURIGROW,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
SAGILITY,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
CIPLA,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
UPL,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
BANARBEADS,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
ALPA,HOLD,44,30,20,LOW,45,50,45,Death cross: 20-day SMA below 50-day SMA (bearish),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
DBCORP,HOLD,47,30,30,LOW,45,50,45,"Low volume on downtrend (weak support), Death cross: 20-day SMA below 50-day SMA (bearish)","HOLD suggested. Tech=30/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
BFUTILITIE,MONITOR,64,30,70,HIGH,45,50,55,"Price 5.2% below 20-day SMA (breakdown), RSI oversold at 23.0 (potential further downside), Negative 10-day momentum: -6.7%","MONITOR suggested. Tech=70/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
VIKRAMAR,HOLD,37,30,0,NONE,45,50,45,No technical data available,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
BHEL,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
CAPACITE,HOLD,44,30,20,LOW,45,50,45,Death cross: 20-day SMA below 50-day SMA (bearish),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
CROMPTON,HOLD,44,30,20,LOW,45,50,45,Death cross: 20-day SMA below 50-day SMA (bearish),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
DATAPATTNS,HOLD,40,30,10,NONE,45,50,45,Low volume on downtrend (weak support),"HOLD suggested. Tech=10/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
EASEMYTRIP,HOLD,44,30,20,LOW,45,50,45,Death cross: 20-day SMA below 50-day SMA (bearish),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
GATECHDVR,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
HUDCO,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
IDBI,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
MGL,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
NBCC,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
RBLBANK,HOLD,37,30,0,NONE,45,50,45,No significant technical exit signals,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
GLENMARK,HOLD,44,30,20,LOW,45,50,45,Death cross: 20-day SMA below 50-day SMA (bearish),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
INDINFO,HOLD,37,30,0,NONE,45,50,45,No technical data available,"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
