ticker,recommendation,decision_band,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,liquidity_risk,index_tailwind,urgency_score,primary_reasons,summary
KEC,HOLD,HOLD,46,75,35,LOW,50,50,35,0,43.26,,
PETRONET,HOLD,HOLD,36,75,0,NONE,50,50,20,0,43.26,,
DEEPAKNTR,HOLD,HOLD,44,75,27,LOW,50,50,35,0,43.26,,
AURIGROW,HOLD,HOLD,41,50,5,NONE,50,50,80,0,43.26,,
SAGILITY,HOLD,HOLD,38,75,5,NONE,50,50,20,0,43.26,,
CIPLA,HOLD,HOLD,40,75,17,NONE,50,50,20,0,43.26,,
UPL,HOLD,HOLD,36,75,0,NONE,50,50,20,0,43.26,,
BANARBEADS,HOLD,HOLD,41,75,5,NONE,50,50,80,0,43.26,,
ALPA,HOLD,HOLD,44,75,20,LOW,50,50,80,0,43.26,,
DBCORP,HOLD,HOLD,46,75,33,LOW,50,50,55,0,43.26,,
BFUTILITIE,IMMEDIATE_EXIT,EXIT,58,75,80,CRITICAL,50,50,55,0,43.26,,
VIKRAMAR,IMMEDIATE_EXIT,EXIT,60,75,85,CRITICAL,50,50,80,0,43.26,,
BHEL,HOLD,HOLD,36,75,0,NONE,50,50,20,0,43.26,,
CAPACITE,HOLD,HOLD,43,75,20,LOW,50,50,55,0,43.26,,
CROMPTON,HOLD,HOLD,43,75,27,LOW,50,50,20,0,43.26,,
DATAPATTNS,HOLD,HOLD,40,75,15,NONE,50,50,20,0,43.26,,
EASEMYTRIP,HOLD,HOLD,45,75,27,LOW,50,50,55,0,43.26,,
GATECHDVR,HOLD,HOLD,45,75,22,LOW,50,50,80,0,43.26,,
HUDCO,HOLD,HOLD,36,75,0,NONE,50,50,20,0,43.26,,
IDBI,HOLD,HOLD,38,75,5,NONE,50,50,20,0,43.26,,
MGL,HOLD,HOLD,39,75,7,NONE,50,50,35,0,43.26,,
NBCC,HOLD,HOLD,36,75,0,NONE,50,50,20,0,43.26,,
RBLBANK,HOLD,HOLD,38,75,5,NONE,50,50,20,0,43.26,,
GLENMARK,HOLD,HOLD,41,75,20,LOW,50,50,20,0,43.26,,
INDINFO,IMMEDIATE_EXIT,EXIT,64,75,100,CRITICAL,50,50,80,0,43.26,,
