rank,ticker,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,headline,reasoning
1,SIGNATURE,76.6,bullish,BUY,"investment, expansion, funding_secured","Debt servicing obligations from NCDs, Real estate sector cyclicality, Interest rate sensitivity, Execution risk on housing projects",85,2,51.56423593102489,Signature Global secures  ₹8.75 billion via NCDs for sustainable housing projects,"Signature Global secured ₹875 crore via NCDs for sustainable housing projects, representing substantial capital infusion for expansion. This is a confirmed funding event (not speculation) with specifi"
2,CARTRADE,76.4,bullish,HOLD,"earnings, profit_growth, intraday_price_movement, all_time_high_breakout","post_earnings_profit_booking, overbought_technical_condition, gap_up_opening_risk, market_correction_vulnerability",85,1,81.08599932853659,"CarTrade Tech Q2 profit more than doubles, stock surges 18% to all-time high ","Strong Q2 earnings with profit more than doubling represents exceptional fundamental catalyst. The 18% surge to all-time high confirms market validation. However, the sharp move suggests near-term ove"
3,GLOBAL,75.1,bullish,BUY,"investment, debt_fundraising, expansion, sustainable_projects","debt_servicing_burden, real_estate_sector_cyclicality, execution_risk, interest_rate_sensitivity",85,4,48.005048531077875,Signature Global secures  ₹8.75 billion via NCDs for sustainable housing projects,"Signature Global secured ₹875 crore via NCDs for sustainable housing projects, indicating strong financial capability and growth plans. This is a substantial fundraise (confirmed action, not speculati"
4,BPCL,69.7,bullish,HOLD,"expansion, investment, m&a","long_gestation_period, capital_intensive, execution_risk, partner_commitment_uncertainty",55,1,51.89541444027407,Oil India explores equity investments in BPCL's proposed  ₹1 tn refinery in Andhra Pradesh,"₹1 trillion greenfield refinery with Oil India equity participation is a major expansion catalyst. However, the 'explores' language indicates early-stage discussions (not confirmed deal). Project time"
5,HINDALCO,65.4,bullish,HOLD,"intraday_price_movement, sector_momentum, volume_surge","momentum_reversal, sector_correlation_risk, no_fundamental_catalyst, profit_booking_pressure",62,1,69.34874240796402,"Hindalco, Vedanta shares jump up to 2% on strong volumes; metal index advances over 1% ","HINDALCO shows positive momentum with 2% price jump on strong volumes, supported by metal index advancing 1%+. This is a sector-driven technical move rather than company-specific fundamental catalyst."
6,OIL,64.7,bullish,HOLD,"investment, expansion, partnership","speculation_stage, timeline_uncertainty, capex_burden, oil_price_volatility",45,1,45.516648812031974,Oil India explores equity investments in BPCL's proposed  ₹1 tn refinery in Andhra Pradesh,"Oil India exploring equity stake in BPCL's ₹1 trillion Andhra Pradesh refinery is a strategic expansion catalyst. However, this is exploration stage (not confirmed), creating moderate uncertainty. The"
7,IMPAL,63.7,bullish,BUY,"earnings, profit_growth","limited_visibility_without_revenue_data, small_cap_liquidity, sector_specific_demand",75,1,68.17385278723248,IMPAL reports 13% rise in net profit for Q2FY26,"IMPAL reported 13% YoY net profit growth in Q2FY26, a confirmed positive earnings catalyst from credible source (Hindu Business Line). This represents steady growth in a niche specialty chemicals/pigm"
8,TOTAL,63.3,bearish,SELL,"earnings, profit_decline","earnings_disappointment, sector_pressure, negative_momentum, volume_selloff",85,3,45.32118171337622,Adani Total Gas Q2 profit declines 12%,Q2 profit decline of 12% is a confirmed negative catalyst from credible source (The Hindu Business Line). Earnings misses typically trigger 3-7% downward moves in gas distribution stocks. High certain
9,MCX,44.9,bearish,SELL,"operational_disruption, regulatory_risk, reputation_damage","repeated technical failures, regulatory scrutiny, loss of market confidence, potential SEBI action, client migration to competitors",75,1,54.1647278248481,MCX shares fall 2% after technical issue halts trading once again ,"MCX faces recurring technical glitches halting trading operations - a critical operational failure for an exchange operator. This is the second such incident, indicating systemic infrastructure issues"
10,TITAN,36.9,neutral,HOLD,investment,"small_deal_size, rights_issue_dilution, limited_company_information, illiquid_small_cap, fundraising_without_clear_growth_catalyst",45,1,59.03440994007602,Titan Intech to raise ₹49 crore via rights issue,Titan Intech's ₹49 crore rights issue is a modest fundraising for a small-cap company. Rights issues typically have neutral-to-negative short-term impact due to dilution concerns. Without clarity on f
