rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,headline,reasoning
1,SOLEX,SOLEX ENERGY LIMITED,78.8,bullish,HOLD,"investment, expansion, export_opportunity, sector_momentum","US tariff uncertainty (up to 50%), Oversupply in domestic market, Fundraising execution risk, Chinese competition in supply chain",82,2,38.0,"Solex Energy to invest $1.5 billion in solar manufacturing, eyes US exports","$1.5 billion (₹12,675cr) confirmed investment over 5 years represents massive capacity expansion (4 GW to 10 GW modules, plus backward integration into cells/wafers/ingots). Near-term ₹500cr fundraise"
2,NMDC,NMDC LIMITED,74.7,bullish,HOLD,"earnings, loss_reduction, revenue_growth","high_debt_burden, continued_losses, volume_selling_pressure, sector_import_competition",85,2,59.2,NMDC Steel Q2 loss narrows to  ₹114 crore,"NMDC Steel Q2 results show significant improvement with loss narrowing from ₹595cr to ₹115cr YoY (-81% loss reduction) and revenue doubling from ₹1,535cr to ₹3,411cr (+122%). However, company remains "
3,STANLEY,STANLEY LIFESTYLES LIMITED,73.9,bullish,BUY,"institutional_investment, block_deal, foreign_institutional_buying, domestic_institutional_buying","Block deal may signal exit by Advent International (negative for sentiment), Stock near all-time high (limited upside room), RSI neutral zone (not oversold, limited bounce potential), Q2 results pending Oct 30 (earnings risk)",85,1,33.2,"Goldman Sachs, Morgan Stanley buy Aditya Birla Capital stake in Rs 819 crore block deal ","Strong institutional buying worth ₹819 crore from marquee investors including Goldman Sachs, Morgan Stanley, HDFC Life, and Norway's sovereign wealth fund Norges Bank signals high conviction in ABCAPI"
4,BRIGADE,BRIGADE ENTERPRISES LIMITED,73.5,bullish,BUY,"earnings, revenue_growth, sector_momentum","Real estate sector cyclicality, Interest rate sensitivity, Execution risk on pre-sales pipeline",85,1,59.9,Brigade Group’s PAT up 48% at ₹170 crore for Q2FY26,"Brigade Group reported exceptional Q2FY26 results with 48% YoY PAT growth to ₹170cr, 26% revenue growth to ₹1,430cr, and strong operational metrics (₹2,034cr pre-sales, 92% leasing occupancy). The Hin"
5,HEIDELBERG,HEIDELBERGCEMENT INDIA LIMITED,70.7,bullish,BUY,"earnings, volume_growth, margin_expansion, sector_momentum","Small company size limits institutional interest, Cement sector price volatility, Seasonal demand fluctuations, Stock consolidating in range",75,1,57.8,Heidelberg Cement India Q2 Results: Profit surges two-fold to Rs 25 crore ,"Heidelberg Cement reported exceptional Q2 FY26 results with profit doubling to ₹25cr (+122% YoY), revenue up 11% to ₹512cr, and volume growth of 9.2%. Most impressive is 41% YoY EBITDA per tonne growt"
6,QUESS,QUESS CORP LIMITED,70.7,bullish,BUY,"earnings, headcount_expansion, sector_momentum, margin_improvement","stock_near_52w_low, high_volatility, macroeconomic_headwinds",80,1,48.1,"Quess Corp Q2 Results: Revenue up 3%, headcount rises by 21,000 ","Quess Corp reported strong Q2FY26 results with highest-ever EBITDA of ₹77cr (+11% YoY), revenue growth of 3% to ₹3,832cr, and impressive margin expansion of 13bps to 2%. The company added 21,000 emplo"
7,ARVIND,ARVIND LIMITED,70.5,bullish,BUY,"expansion, investment, sector_momentum","execution_risk, market_cap_sensitivity, premium_segment_concentration",75,1,53.5,Arvind SmartSpaces enters Vadodara with ₹700 cr residential project,"Arvind SmartSpaces announces ₹700cr residential project in Vadodara, marking its 23rd Gujarat project. Deal size represents 24% of company's ₹2,917cr market cap, indicating significant growth catalyst"
8,STAR,STRIDES PHARMA SCIENCE LIMITED,69.9,bullish,BUY,"earnings, asset_growth, credit_quality_improvement","Marginal asset quality deterioration, Disbursements down 4% YoY due to tighter controls, Gross Stage 3 Assets increased to 2.64%, Small-ticket NBFC sector faces competitive pressure",75,1,64.7,Five-Star Business Finance profit up 7% in Q2FY26,"Five-Star Business Finance reported solid Q2FY26 results with 7% profit growth to ₹286cr, 14% revenue growth, and 18% YoY AUM growth to ₹12,847cr. Management confirmed downtrend arrested with green sh"
9,MRPL,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,62.7,bullish,HOLD,"innovation_recognition, r&d_validation, sector_momentum","award_has_no_direct_revenue_impact, crude_to_chemicals_commercialization_timeline_unclear, refining_sector_volatility, no_specific_financial_metrics_disclosed",58,1,67.6,MRPL wins Innovation Award at Energy Technology Meet,"MRPL wins prestigious Innovation Award for indigenous crude-to-chemicals technology from Union Petroleum Minister, validating R&D capabilities and future-ready positioning. While no immediate revenue "
10,AAKASH,AAKASH EXPLORATION SERVICES LIMITED,61.3,bullish,HOLD,"corporate_action, regulatory_approval, fundraising","Ongoing NCLAT litigation with BYJU'S parent company, Rights issue execution risk, Minority shareholder opposition (25.54% stake holder objected), Financial distress indicated by urgent capital needs",62,1,43.5,Aakash shareholders approve increase in authorised share capital following NCLAT nod,"Aakash secured NCLAT approval and shareholder majority for capital increase, enabling critical rights issue to fund operations. While corporate action is confirmed (tier-1 source Hindu BusinessLine), "
11,MARINE,MARINE ELECTRICALS (INDIA) LIMITED,32.7,neutral,HOLD,,"Completely irrelevant to MARINE stock performance, News is about government census, not company operations, Zero correlation with stock fundamentals or business prospects",85,1,52.0,National Marine Fisheries Census: Household enumeration to be launched on Friday,"This news is about a National Marine Fisheries Census initiative by the Indian government, not about any company named MARINE. The article discusses a household enumeration program for fisherman commu"
