rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,current_price,price_timestamp,entry_zone_low,entry_zone_high,target_conservative,target_aggressive,stop_loss,fundamental_adjustment,quarterly_earnings_growth_yoy,annual_earnings_growth_yoy,profit_margin_pct,debt_to_equity,is_profitable,net_worth_positive,financial_health_status,headline,reasoning
1,BPCL,BHARAT PETROLEUM CORPORATION LIMITED,87.8,bullish,BUY,"earnings, dividend, government_support, cost_control, refining_margin_improvement","Sequential revenue decline of 6%, Sequential profit decline of 9%, RSI overbought at 70.42, Crude price volatility risk",90,1,64.3,364.50,2025-11-03T11:07:39.663823,359.03,366.32,373.61,382.73,355.39,+4.96,140.68,-50.35,6.08,0.75,TRUE,TRUE,moderate,BPCL shares in focus after Q2 PAT soars 170% YoY ,"BPCL delivered exceptional Q2 results with 170% YoY PAT growth to ₹6,191cr, driven by improved GRM ($7.77/barrel), cost control (expenses down YoY and QoQ), and ₹7,594cr government LPG compensation. S"
2,FOCUS,FOCUS LIGHTING AND FIXTURES LIMITED,83.8,bullish,HOLD,"brokerage_upgrade, target_price_revision, sequential_growth","weak_yoy_performance, high_valuation_61x_pe, increased_operating_expenses, marginal_revenue_decline",72,2,33.2,86.88,2025-11-03T10:11:10.715252,85.58,87.31,89.05,91.22,84.71,+8.00,,408.31,13.74,0.03,TRUE,TRUE,healthy,CDSL shares in focus after Nuvama raises target price despite weak Q2 show ,"Nuvama's target price upgrade to ₹1,840 (+112% upside from current ₹86.88) despite weak Q2 YoY results shows strong conviction in sequential recovery (37% QoQ profit jump). Sharp growth in IPO/corpora"
3,INTELLECT,INTELLECT DESIGN ARENA LIMITED,80.0,bullish,BUY,"technical_breakout, pattern_confirmation, volume_surge, sector_momentum","overbought_rsi, profit_booking_pressure, technical_analysis_only",75,1,75.4,1208.40,2025-11-03T10:36:27.968175,1190.27,1214.44,1238.61,1268.82,1178.19,+6.23,26.90,3.61,13.47,0.03,TRUE,TRUE,healthy,"Stock to buy today: Intellect Design Arena (₹1,132.90) – BUY",Strong technical setup with 8% bullish breakout confirmed by double bottom pattern reversal. Current RSI 76.68 shows overbought but strong momentum (+27% 10-day). Price trading 19.9% above 20DMA with 
4,PAYTM,ONE 97 COMMUNICATIONS LIMITED,77.7,bullish,BUY,"sector_momentum, high_beta_performance, price_momentum","high_volatility_stock, beta_driven_downside_risk, momentum_reversal",72,1,60.7,1275.90,2025-11-03T11:12:23.139269,1256.76,1282.28,1307.80,1339.70,1244.00,+9.26,114.60,53.51,6.39,0.01,TRUE,TRUE,healthy,"High beta stocks hit higher peaks and deeper troughs. Laurus Labs, Paytm shine with 99% gains, Trent","PAYTM delivered exceptional 99% gains over the past year as a high-beta stock, demonstrating strong momentum leadership. With RSI at 58 (neutral territory), price above both 20DMA (+0.03%) and 50DMA ("
5,WEALTH,WEALTH FIRST PORTFOLIO MANAGERS LIMITED,72.1,bullish,HOLD,"earnings, aum_growth, profit_growth, operational_efficiency","Brokerage revenue declined 24% YoY due to regulatory changes, Treasury segment reported ₹270cr mark-to-market loss, Stock trading below 20DMA and 50DMA with oversold RSI, Low volume ratio (0.22x) indicates weak buying interest",80,1,34.4,1139.70,2025-11-03T11:04:43.061164,1128.30,1139.70,1185.29,1230.88,1094.11,+2.81,13.89,-20.00,64.32,0.00,TRUE,TRUE,moderate,"Motilal Oswal’s AUM jumps 55% YoY; housing finance, AMC, and wealth units drive record profits ","MOFSL (parent of WEALTH) reported exceptional Q2 results with 55% YoY AUM growth, record operating profit of ₹554cr (+30% YoY), and strong performance across AMC/wealth/housing finance segments. Housi"
6,PARSVNATH,PARSVNATH DEVELOPERS LIMITED,69.6,bullish,BUY,"expansion, revenue_generation, asset_monetization","Company has negative net worth and profitability issues, High debt-to-equity ratio concerns, Revenue declined 30.81% Y-o-Y in recent quarter, Rental income depends on sustained tenant occupancy, Rs 20 crore annual payment to DMRC reduces net income to Rs 100 crore",85,1,52.6,17.00,2025-11-03T10:04:23.198714,16.75,17.08,17.42,17.85,16.57,-1.40,72.27,41.78,-143.62,-1.63,FALSE,FALSE,moderate,"Unity group, Parsvnath eye Rs 120 crore annual rental income from new 5 lakh sq ft mall in Delhi ",Parsvnath has successfully launched a fully leased 5 lakh sq ft mall generating Rs 120 crore annual rental income (net Rs 100 crore after DMRC payment). This represents a significant recurring revenue
7,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,67.9,bullish,BUY,"broker_upgrade, target_price_raise, sequential_growth, ipo_charges_surge","YoY profit decline of 13.6%, Revenue flat/declining YoY, Higher operating expenses, High valuation (61x FY27 P/E)",68,1,43.4,1606.90,2025-11-03T11:08:09.142178,1582.80,1614.93,1647.07,1687.25,1566.73,+2.63,-23.72,25.66,39.55,0.00,TRUE,TRUE,moderate,CDSL shares in focus after Nuvama raises target price despite weak Q2 show ,"Nuvama raised target price to ₹1,840 (14.5% upside from current ₹1,607) despite weak Q2 YoY results, citing strong sequential recovery (37% QoQ profit jump) driven by 195% surge in IPO/corporate actio"
8,TCS,TATA CONSULTANCY SERVICES LIMITED,55.3,bearish,HOLD,"investment, business_diversification","Lower profitability than core IT services business - management admits RoE will be significantly lower, Capital-intensive asset-heavy business model (₹54,600 crore investment) will drag down return ratios, Investor apprehension - market prefers cash return or AI tech investments over data centers, Stock underperformance since announcement (-0.14% vs Sensex +2.15%), Uncertain external funding structure - management not disclosing how much will be raised from outside investors, Execution risk - ambitious 18-month construction cycle across 5 cities, Competitive market - India's data center density still very low vs global standards",85,1,47.3,3037.00,2025-11-03T11:14:05.873197,3006.63,3037.00,3158.48,3279.96,2915.52,+5.75,5.98,5.76,20.11,0.10,TRUE,TRUE,healthy,TCS says $6.5 bn data-centre bet will lag IT business on profitability,"TCS management has explicitly confirmed that their $6.5 billion data center venture will generate lower returns than their core IT services business, with RoE expected to drop from ~50% to ~40% over f"
9,MARUTI,MARUTI SUZUKI INDIA LIMITED,51.1,bearish,HOLD,"earnings, sales_volume","Stock falling 3% despite positive Q2 results indicates profit booking or margin concerns, Q2 PAT below street expectations (₹3,349cr vs ₹3,458cr expected), Expected 5% volume decline in upcoming quarters due to Victors launch base effect, Sequential margin pressure from promotions, advertising, and forex losses, Technical breakdown with RSI at oversold 26.89, downtrend momentum",85,1,50.3,15646.00,2025-11-03T11:10:59.524889,15411.31,15724.23,16037.15,16428.30,15254.85,+5.65,0.87,7.50,10.35,0.00,TRUE,TRUE,healthy,"Maruti Suzuki shares fall 3% after Q2 results, October sales volumes. Should you buy? ","While Q2 results show 8% YoY PAT growth to ₹3,349cr and October sales up 8.4% YoY, the stock is falling 3% due to profit missing estimates and margin concerns. However, technical oversold conditions ("
10,RELIANCE,RELIANCE INDUSTRIES LIMITED,45.7,bearish,HOLD,"regulatory, legal_action","Asset attachment on Anil Ambani's Reliance Group (NOT Mukesh Ambani's Reliance Industries), Money laundering allegations, ED enforcement action, ₹17,000 crore fund diversion probe, Negative sentiment may briefly impact Reliance Industries due to name confusion",85,1,54.9,1491.70,2025-11-03T11:13:10.681893,1469.32,1499.16,1528.99,1566.28,1454.41,+7.46,78.32,0.04,11.08,0.44,TRUE,TRUE,healthy,"ED attaches 40 assets worth  ₹3,000 crore linked to Anil Ambani’s Reliance Group across Delhi, Mumba","CRITICAL CLARIFICATION: This news concerns Anil Ambani's Reliance Group (Reliance Infrastructure, Reliance Power, Reliance Home Finance), NOT Mukesh Ambani's Reliance Industries Ltd (ticker: RELIANCE)"
11,TRENT,TRENT LIMITED,45.6,bearish,SELL,"high_beta_volatility, sector_momentum","TRENT listed among double-digit losers in high-beta category, Stock underperforming in current market correction phase, High beta amplifies downside during volatile periods, Recent downtrend confirmed by technicals (below 20DMA and 50DMA)",75,1,40.9,4699.00,2025-11-03T11:14:44.281648,4628.52,4722.49,4816.47,4933.95,4581.52,+5.80,9.45,4.03,8.80,0.41,TRUE,TRUE,healthy,"High beta stocks hit higher peaks and deeper troughs. Laurus Labs, Paytm shine with 99% gains, Trent","Article explicitly mentions TRENT as one of the high-beta stocks that 'slip in double digits' over the past year, indicating significant underperformance. Technical analysis confirms bearish setup: pr"
