rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning
1,INDINFO,INDINFO,65.0,neutral,MONITOR,Price 7.9% below 20-day SMA (breakdown); Price 22.6% below 50-day SMA; RSI oversold at 27.8 (potential further downside),Some warning signs present,,30.0,1,100,Technical-only assessment (no recent news),"MONITOR suggested. Tech=100/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
2,VIKRAMAR,VIKRAMAR,60.0,neutral,MONITOR,Price 5.5% below 20-day SMA (breakdown); Price 13.5% below 50-day SMA; RSI oversold at 29.1 (potential further downside),Some warning signs present,,30.0,1,85,Technical-only assessment (no recent news),"MONITOR suggested. Tech=85/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
3,BFUTILITIE,BFUTILITIE,58.0,neutral,HOLD,Price 5.2% below 20-day SMA (breakdown); RSI oversold at 23.0 (potential further downside); Negative 10-day momentum: -6.7%,Some warning signs present,,30.0,1,80,Technical-only assessment (no recent news),"MONITOR suggested. Tech=80/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
4,KEC,KEC,45.0,neutral,HOLD,RSI oversold at 22.8 (potential further downside); Low volume on downtrend (weak support); Close below lower Bollinger band,No urgent exit signals,,30.0,1,35,Technical-only assessment (no recent news),"HOLD suggested. Tech=35/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
5,PETRONET,PETRONET,45.0,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,30.0,1,0,Technical-only assessment (no recent news),"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
6,DEEPAKNTR,DEEPAKNTR,45.0,neutral,HOLD,RSI oversold at 25.3 (potential further downside); Unusual volume spike on down move; Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,27,Technical-only assessment (no recent news),"HOLD suggested. Tech=27/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
7,AURIGROW,AURIGROW,45.0,neutral,HOLD,High short-term volatility (ATR 4.0% of price),No urgent exit signals,,30.0,1,5,Technical-only assessment (no recent news),"HOLD suggested. Tech=5/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
8,SAGILITY,SAGILITY,45.0,neutral,HOLD,High short-term volatility (ATR 4.3% of price),No urgent exit signals,,30.0,1,5,Technical-only assessment (no recent news),"HOLD suggested. Tech=5/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
9,CIPLA,CIPLA,45.0,neutral,HOLD,Unusual volume spike on down move; Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,17,Technical-only assessment (no recent news),"HOLD suggested. Tech=17/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
10,UPL,UPL,45.0,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,30.0,1,0,Technical-only assessment (no recent news),"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
