ticker,existing_rank,marketcap_cr,alpha,news_score,impact_pct,catalyst_type,certainty,deal_value_cr,mom20,mom60,rvol20,pbz,squeeze,bo,close_vs_sma50,close,atr20,stop,tp1,tp2,trail,gate_flags,final_pick,headline_count
V2RETAIL,1,50000.0,70.06,0.0,0.0,None,0.0,0.0,0.2543,0.2259,0.01,0.69,False,-1.2,0.221,2330.6,112.0,2162.6,2498.6,2666.59,2050.61,LOW_RVOL;NO_SQUEEZE_BO,False,0
ETERNAL,17,50000.0,65.26,0.595,0.593,General,0.725,13590.0,0.0257,0.1429,0.08,0.71,False,-2.43,0.053,345.2,9.58,330.82,359.58,373.95,321.24,LOW_RVOL;NO_SQUEEZE_BO,False,4
HINDZINC,25,50000.0,57.51,0.0,0.0,None,0.0,0.0,0.0771,0.0921,0.17,0.12,False,-2.48,0.07,488.0,15.22,465.17,510.83,533.65,449.95,LOW_RVOL;NO_SQUEEZE_BO,False,0
RADICO,2,50000.0,56.68,0.0,0.0,None,0.0,0.0,0.0524,0.1647,1.09,3.07,False,-0.85,0.101,3212.4,81.71,3089.83,3334.97,3457.54,3008.12,LOW_RVOL;NO_SQUEEZE_BO,False,0
MARUTI,6,50000.0,55.46,0.0,0.0,None,0.0,0.0,0.0404,0.3213,0.04,1.89,False,-0.19,0.089,16505.0,237.15,16149.28,16860.72,17216.44,15912.14,LOW_RVOL;NO_SQUEEZE_BO;WEAK_NEWS_MOM,False,0
SAIL,18,50000.0,54.12,0.81,1.0,Expansion,0.8,36934.0,-0.0509,-0.0289,0.04,-1.37,True,-2.56,0.008,129.27,3.7,123.72,134.82,140.37,120.02,LOW_RVOL,False,1
SOBHA,7,50000.0,50.96,0.408,0.189,General,0.7,3981.4,-0.0417,-0.0755,0.52,0.39,False,-2.45,0.013,1528.7,50.19,1453.41,1603.99,1679.27,1403.22,LOW_RVOL;NO_SQUEEZE_BO,False,3
RELIANCE,8,50000.0,48.94,0.24,0.0,General,0.45,0.0,0.0361,0.0277,0.48,3.47,False,-0.12,0.052,1458.2,20.43,1427.55,1488.85,1519.49,1407.12,LOW_RVOL;NO_SQUEEZE_BO,False,4
CCCL,3,50000.0,48.07,0.0,0.0,None,0.0,0.0,-0.1045,0.3718,0.01,-1.16,True,-4.23,0.104,23.32,1.31,21.35,25.29,27.26,20.04,LOW_RVOL;WEAK_NEWS_MOM,False,0
CCCL,4,50000.0,48.07,0.0,0.0,None,0.0,0.0,-0.1045,0.3718,0.01,-1.16,True,-4.23,0.104,23.32,1.31,21.35,25.29,27.26,20.04,LOW_RVOL;WEAK_NEWS_MOM,False,0
